JobName,CompanyName,WorkingArea,Salary
CSIG15-机器学习算法研究员/工程师（成都）,深圳市腾讯计算机系统有限公司,成都,
机器学习算法工程师,潍坊赢启信息科技有限公司,广州-天河区,4-5万/月
机器学习软件工程师,星逻智能科技（苏州）有限公司,上海-浦东新区,1.6-2.5万/月
机器学习算法工程师,广东腐蚀科学与技术创新研究院,广州-黄埔区,1.1-2万/月
机器学习工程师,江苏鸿程大数据技术与应用研究院有限公司,南京-浦口区,1.3-2.6万/月
机器学习工程师,武汉市多比特信息科技有限公司,武汉-东湖新技术产业开发区,1.3-2.6万/月
机器学习工程师(digital),华晨宝马汽车有限公司,北京,
机器学习工程师(006346),奇安信集团,北京-西城区,1.8-3.5万/月
123277中级嵌入式工程师（高性能-机器学习）,深圳市大疆创新科技有限公司,深圳-南山区,35-50万/年
机器学习工程师HD,鼎捷软件股份有限公司,南京,1.5-3万/月
机器学习算法工程师,北京闪鉴博创科技集团有限公司,北京-东城区,1-5万/月
机器学习图像处理,瞬联软件科技（北京）有限公司 CIeNET Technologies,南京,1.5-2.5万/月
机器学习工程师(J10960),汤臣倍健股份有限公司,北京-朝阳区,30-40万/年
机器学习算法工程师,深圳绿米联创科技有限公司,深圳-南山区,2.5-3.5万/月
软件开发/自动化开发/机器学习/RPA开发,英迈（中国）投资有限公司,上海-松江区,1-1.5万/月
机器学习算法工程师,华存数据信息技术有限公司,上海,1.3-2.6万/月
机器学习算法工程师,安徽皖信人力资源管理有限公司,上海-虹口区,2-2.5万/月
机器学习工程师,上海斑马来拉物流科技有限公司,上海-普陀区,1.5-2万/月
高级机器学习算法工程师,杭州世平信息科技有限公司,杭州-西湖区,2-3万/月
机器学习工程师,武汉环宇智行科技有限公司,武汉-汉阳区,1-3万/月
机器学习平台研发工程师,佳都科技集团股份有限公司,广州-天河区,1.5-3万/月
机器学习算法工程师,上海蓬海涞讯数据技术有限公司,上海-徐汇区,1.6-3万/月
机器学习算法工程师（金融方向）,苏州银丰睿哲信息科技有限公司,苏州-工业园区,1.2-2.6万/月
BMS云平台工程师/电动车机器学习工程师,上海国轩新能源有限公司,上海,2-4万/月
机器学习工程师,杭州古珀医疗科技有限公司,杭州,2-2.5万/月
研发工程师(人工智能及机器学习方向）,南京聚铭网络科技有限公司,南京-雨花台区,1.5-2.8万/月
机器学习算法工程师,深圳中科飞测科技股份有限公司,深圳-南山区,2.5-4万/月
机器学习算法工程师,苏州奇流信息科技有限公司,常熟,1-1.5万/月
气象机器学习工程师,航天宏图信息技术股份有限公司,南京-雨花台区,1.5-3万/月
架构师（机器学习平台）,东方微银科技股份有限公司,北京-海淀区,3-5万/月
AIDD算法科学家（机器学习/深度学习）,首药控股（北京）股份有限公司,北京-海淀区,2-2.5万/月
机器学习算法工程师,杭州迪普科技股份有限公司,杭州-滨江区,1.5-3万/月
人工智能/机器学习工程师,武汉船舶通信研究所（中国船舶重工集团公司第七二二研究所）,武汉-江夏区,1-1.5万/月
