GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
帝国时代：终极版,Age of Empires: Definitive Edition,Forgotten Empires,Microsoft,2018-02-20,false,,,,,,,,,,,,,,,"pc, "
足球经理2018,Football Manager 2018,Sports Interactive,SEGA,2017-11-10,false,,,,,,,,,,,,,,,"pc, "
Hidden Agenda,,Supermassive Games,Sony Interactive Entertainment,,,2017-10-24,false,,,,,,,,,,,,,"ps4, "
混乱特工,Agents of Mayhem,Volition,Deep Silver,,,2017-08-15,false,,,,,,,,,,,,,"ps4, "
幻影：秘法战争,Mirage: Arcane Warfare,2017-06-24,动作,2017-05-23,false,,,,,,,,,,,,,,,"pc, "
秘奥法师,Mages of Mystralia,Borealys Games,Borealys Games,,,,,,,,,,,,,,,,,"ns, "
乙女理论及其周边 一路顺风,乙女理論とその周辺 -Bon Voyage-,Navel,Dramatic Create,,,,,,,,,,,,,,,2016-11-24,false,"psv, "
足球经理2017,Football Manager 2017,Sports Interactive,SEGA,2016-11-04,false,,,,,,,,,,,,,,,"pc, "
忍者神龟：曼哈顿变种,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlatinumGames,Activision,,,2016-05-24,false,,,,,,,,,,,,,"ps4, "
足球经理2016,Football Manager 2016,Sports Interactive,SEGA,2015-11-13,false,,,,,,,,,,,,,,,"pc, "
伪装游戏,Agent A,官网地址,Yak & co,2015-10-20,false,,,,,,,,,,,,,,,"pc, "
诡色洋红,Possession Magenta,HuneX,Comfort,,,,,,,,,,,,,,,2015-05-28,false,"psv, "
Bullet Age,,Halfbot,Liv Games,,,,,,,,,,,,,,,,,"ns, "
帝国时代2,Age of Empires II,Ensemble Studios,Microsoft,最早发售 1999-09-30,false,,,,,,,,,,,,,,,"pc, "
子弹少女 幻想曲,バレットガールズ ファンタジア,D3 Publisher,D3 Publisher,,,2018-08-09,false,,,,,,,,,,,,,"ps4, "
子弹少女,Bullet Girls,Shade,D3 Publisher,,,,,,,,,,,,,,,2014-08-28,false,"psv, "
灵弹魔女,BULLET WITCH,Cavia,AQ Interactive,2006-07-27,false,,,,,,,,,,,,,,,"pc, "
刀剑神域 夺命凶弹,ソードアートオンライン　フェイタルバレット,Bandai Namco,Bandai Namco,,,2018-02-08,false,,,,,,,,,,,,,"ps4, "
子弹少女2,バレットガールズ2,Shade,D3 Publisher,,,,,,,,,,,,,,,2016-04-21,false,"psv, "
子弹风暴,BulletStorm,People Can Fly,EA,,,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, ps3, "
弹性子弹,Bouncy Bullets,Petite Games,Ratalaika Games,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
蓝调与子弹,Blues and Bullets,A Crowd Of Monsters,A Crowd Of Monsters,,,,,,,,,,,,,,,,,"ps4, xb1, "
Bite the Bullet,,Mega Cat Studios,Graffiti Games,,,,,,,,,,,,,,,,,"ns, xb1, "
帝国时代2 高清版,Age of Empires II HD,Hidden Path Entertainment,Microsoft,2013-04-10,false,,,,,,,,,,,,,,,"pc, "
最终幻想12 黄道纪元,FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
帝国时代2 终极版,Age of Empires II: Definitive Edition,Forgotten Empires,Microsoft,最早发售 2019-11-14,true,,,,,,,,,,,,,,,"pc, "
炽焰帝国2,Kingdom Under Fire II,Blueside,Gameforge,,,最早发售 取消发售,false,,,,,,,,,,,,,"ps4, "
天使帝国2,天使帝國II,大宇资讯,大宇资讯,最早发售 1994-12-10,true,,,,,,,,,,,,,,,"pc, "
帕斯卡契约,Pascals Wager,TipsWorks,巨人网络,,,,,,,,,,,,,,,,,"pc, ios, "
龙腾世纪4,Dragon Age 4,BioWare,EA,,,,,,,,,,,,,,,,,"角色扮演, "
高达Try AGE SP,ガンダムトライエイジSP,Bandai Namco,Bandai Namco,,,,,,,,,,,,,2014-07-17,false,,,"3ds, "
破碎时光,Broken Age,Double Fine,Double Fine,,,,,,,,,,,,,,,,,"ns, "
机动战士高达 AGE,機動戦士ガンダムAGE コズミックドライブ,2012-08-30,角色扮演,,,,,,,,,,,,,,,,,"psp, "
阿加雷斯特战记 甜蜜新婚,アガレスト戦記 Mariage,Idea Factory,Compile Heart,最早发售 2019-02-01,true,,,,,,,,,,,,,,,"pc, "
龙腾世纪2,Dragon Age II,BioWare,EA,,,,,,,,,,,,,,,,,"ps3, "
