GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
光环：士官长合集,Halo: The Master Chief Collection,343 Industries,Microsoft,,,,,,,,,,,,,,,,,"xsx|s, xb1, "
光环 致远星,Halo: Reach,Bungie,Microsoft,最早发售 2019-12-03,false,,,,,,,,,,,,,,,"xb1, pc, "
光环 无限,Halo Infinite,343 Industries,Microsoft,,,,,,,,,,,,,,,,,"xsx|s, xb1, "
光环战争2,Halo Wars 2,Creative Assembly,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
光环 战斗进化 周年纪念版,Halo：Combat Evolved Anniversary,Microsoft,Microsoft,最早发售 2020-03-04,true,,,,,,,,,,,,,,,"xb1, pc, "
光环战争,Halo Wars,Microsoft,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
光环3 天降神兵,Halo 3: ODST,Bungie,Microsoft,最早发售 2020-09-22,true,,,,,,,,,,,,,,,"xb1, pc, "
光环：斯巴达突袭,Halo: Spartan Assault,343 Industries,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
光环2,Halo 2,Bungie,Microsoft,最早发售 2007-05-17,true,,,,,,,,,,,,,,,"xb1, pc, "
光环3,Halo 3,Bungie,Microsoft,最早发售 2019-12-03,true,,,,,,,,,,,,,,,"xb1, pc, "
光环4,Halo 4,343 Industries,Microsoft,最早发售 2019-12-03,false,,,,,,,,,,,,,,,"xb1, pc, "
光环5：守护者,Halo 5: Guardians,343 Industries,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
