GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
克苏鲁的呼唤：黑暗地带,Call of Cthulhu:Dark Corners of the Earth,Frogwares,Focus Home Interactive,2006-04-26,false,,,,,,,,,,,,,,,"pc, "
克苏鲁的呼唤,Call of Cthulhu,Cyanide Studio,Focus Home Interactive,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
月相魔影 克苏鲁之路,Gibbous - A Cthulhu Adventure,Stuck In Attic,Stuck In Attic,最早发售 2019-08-07,true,,,,,,,,,,,,,,,"pc, "
