GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
吉娜姐妹 扭曲梦境,Giana Sisters: Twisted Dreams,Black Forest Games,Black Forest Games,,,,,,,,,,,,,,,,,"pc, wiiu, ps3, "
吉娜姐妹 扭曲梦境 导演剪辑版,Giana Sisters: Twisted Dreams - Director's Cut,Black Forest Games,Black Forest Games,最早发售 2013-09-23,false,,,,,,,,,,,,,,,"ps4, xb1, pc, "
情圣拉瑞 梦遗延绵,Leisure Suit Larry: Wet Dreams Don't Dry,CrazyBunch Studios,Assemble Entertainment,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
情圣拉瑞 梦遗二度,Leisure Suit Larry: Wet Dreams Dry Twice,CrazyBunch Studios,Assemble Entertainment,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
米皮大冒险 梦域,Mimpi Dreams,Dreadlocks Mobile,Dreadlocks Mobile,最早发售 2016-03-23,true,,,,,,,,,,,,,,,"ns, pc, "
Dreams Universe,,Media Molecule,Sony Interactive Entertainment,,,最早发售 2020-02-14,true,,,,,,,,,,,,,"ps4, "
心跳宇宙,Doki-Doki Universe,HumaNature Studios,HumaNature Studios,,,2013-12-10,false,,,,,,,,,,,,,"ps4, "
飞翔泡泡龙3D,Bust-a-Move Universe,ARIKA,Square Enix,,,,,,,,,,,,,2011-02-26,false,,,"3ds, "
高达 战斗宇宙,Gundam Battle Universe,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"psp, "
崔佛拯救宇宙,Trover Saves the Universe,Squanch Games,Squanch Games,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
乐高漫威超级英雄：宇宙危机,Lego Marvel Super Heroes: Universe in Peril,TT Games,Warner Bros. Games,,,2013-10-22,false,,,,,,,,,,,,,"ps4, "
DC宇宙 Online,DC Universe Online,Daybreak Game,Daybreak Game,,,2011-01-11,false,,,,,,,,,,,,,"ps4, "
真人快打 VS. DC漫画英雄,Mortal Kombat vs. DC Universe,Midway Games,Midway Games,,,,,,,,,,,,,,,,,"ps3, "
迷失岛3：宇宙的尘埃,ISOLAND3: Dust of the Universe,胖布丁网络科技公司,胖布丁网络科技公司,最早发售 2020-03-17,true,,,,,,,,,,,,,,,"pc, "
D4 暗梦不灭,D4: Dark Dreams Don't Die,Access Games,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
梦精灵 深夜入梦,NiGHTS Into Dreams,Sonic Team,SEGA,,,,,,,,,,,,,,,,,"x360, "
新鬼武者 幻梦之晓,新 鬼武者 DAWN OF DREAMS,CAPCOM,CAPCOM,,,,,,,,,,,,,,,,,"ps2, "
