GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
刺客信条3：解放,Assassin's Creed III: Liberation,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ns, "
解放少女,解放少女,LEVEL-5,LEVEL-5,,,,,,,,,,,,,2012-11-14,false,,,"3ds, "
皇牌空战6 解放的战火,Ace Combat 6: Fires of Liberation,Project Aces,Bandai Namco,,,,,,,,,,,,,,,,,"xb1, "
刺客信条3,Assassin's Creed III,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ns, "
D×2真·女神转生 解放,D×2 真・女神転生リベレーション,SEGA,SEGA,,,,,,,,,,,,,,,,,"ios, "
解放少女：罪恶,Liberation Maiden SIN,5pb.,5pb.,,,,,,,,,,,,,,,2013-12-05,false,"psv, "
解放之剑,アンチェインブレイズ レクス,FuRyu,FuRyu,,,,,,,,,,,,,2011-07-14,false,,,"3ds, "
兽人必须死 解放,Orcs Must Die! Unchained,Robot Entertainment,Robot Entertainment,,,最早发售 2017-07-18,false,,,,,,,,,,,,,"ps4, "
众神 解放,Immortal：Unchained,Toadman Interactive,Game Odyssey Limited,,,,,,,,,,,,,,,,,"ps4, xb1, "
解放者,Liberated,Atomic Wolf Games,Walkabout Games,,,,,,,,,,,,,,,,,"ns, "
圣战群英传 解放,Disciples: Liberation,Frima Studio,Kalypso Media,,,,,,,,,,,,,,,,,"xsx|s, ps5, ps4, xb1, "
