GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
最终幻想10 高清重制版,Final Fantasy X HD Remaster,Virtuos,Square Enix,,,,,,,,,,,,,,,最早发售 2013-12-26,true,"ns, ps4, xb1, pc, psv, "
兰斯10 决战,RanceⅩ-決戦-,ALICESOFT,ALICESOFT,最早发售 2018-02-23,true,,,,,,,,,,,,,,,"pc, "
10秒忍者X,10 Second Ninja X,Four Circle Interactive,Curve Digital,最早发售 2016-07-19,false,,,,,,,,,,,,,,,"ps4, xb1, pc, "
世界汽车拉力锦标赛10,WRC 10 FIA World Rally Championship,KT Racing,Nacon,,,,,,,,,,,,,,,,,"xsx|s, ps5, ns, ps4, xb1, "
大富翁10,RichMan 10,北京软星,大宇资讯,,,,,,,,,,,,,,,,,"ns, "
NBA 2K10,NBA 2K10,Visual Concepts,2K,,,,,,,,,,,,,,,,,"ps3, "
最终幻想10/10-2高清重制版,Final Fantasy X/X-2 HD Remaster,Virtuos,Square Enix,最早发售 2016-05-13,true,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, "
水仙 十周年精选集,Narcissus 10th Anniversary Anthology,Sekai Project,Kadokawa Games,,,2016-01-28,false,,,,,,,,,,,,,"ps4, "
3 out of 10,,Terrible Posture Games,Terrible Posture Games,,,,,,,,,,,,,,,,,"ns, xb1, "
勇者斗恶龙10 Online,Dragon Quest X Online,Square Enix,Square Enix,,,,,,,,,,,,,,,,,"ns, "
魔法门10：传承,Might & Magic X: Legacy,Limbic Entertainment,Ubisoft,最早发售 2014-01-23,true,,,,,,,,,,,,,,,"pc, "
最终幻想10-2 高清重制版,Final Fantasy X-2 HD Remaster,Virtuos,Square Enix,,,,,,,,,,,,,,,最早发售 2013-12-26,true,"ns, ps4, xb1, pc, psv, "
最终幻想10,FINAL FANTASY X,Square,Square,,,,,,,,,,,,,,,,,"ps2, "
最终幻想10-2,Final Fantasy X-2,Square,Square,,,,,,,,,,,,,,,,,"ps2, "
Ben 10 最终进化2,Ben 10: Omniverse 2,1st Playable Productions,D3 Publisher,,,,,,,,,,,,,,,,,"wiiu, "
Ben 10 最终进化,Ben 10: Omniverse,1st Playable Productions,D3 Publisher,,,,,,,,,,,,,,,,,"wiiu, "
Ben 10 银河竞速,Ben 10: Galactic Racing,Monkey Bar Games,D3 Publisher,,,,,,,,,,,,,,,2011-10-18,false,"psv, "
和班尼特福迪一起攻克难关,Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy,2017-10-06,false,,,,,,,,,,,,,,,"pc, "
茂伸 纯洁微笑,Monobeno: Pure Smile,Dramatic Create,Dramatic Create,,,,,,,,,,,,,,,2014-09-25,false,"psv, "
班特利的背包,Bentley's Hackpack,Sanzaru Games,Sony Interactive Entertainment,,,,,,,,,,,,,,,2013-02-05,false,"psv, "
班迪与墨水机器,Bendy and the Ink Machine,Joey Drew Studios,Joey Drew Studios,,,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, ios, "
NBA Live 10,NBA Live 10,EA,EA,,,,,,,,,,,,,,,,,"ps3, "
FIFA 10,FIFA Soccer 10,EA,EA,,,,,,,,,,,,,,,,,"pc, ps3, x360, wii, psp, nds, "
马里奥聚会10,Mario Party 10,Nd Cube,Nintendo,,,,,,,,,,,,,,,,,"wiiu, "
卡利布尔10系列竞速赛,Calibre 10 Racing Series,Hesaw,Focus Home Interactive,,,,,,,,,,,,,,,,,"xb1, "
实况足球10,World Soccer: Winning Eleven 10,Konami,Konami,2006-04-27,false,,,,,,,,,,,,,,,"pc, "
