GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
潜龙谍影2 固蛇,Metal Gear 2: Solid Snake,Konami,Konami,,,,,,,,,,,,,,,,,"msx, ps3, x360, "
潜龙谍影5 终极版,Metal Gear Solid V: The Definitive Experience,Kojima Productions,Konami,,,,,,,,,,,,,,,,,"ps4, xb1, "
影牢：黑暗公主,Deception IV: Blood Ties,Koei Tecmo,Koei Tecmo,,,,,,,,,,,,,,,2014-02-27,false,"psv, "
影牢：另一个公主,影牢 ～もう1人のプリンセス～,Koei Tecmo,Koei Tecmo,,,2015-03-26,false,,,,,,,,,,,,,"ps4, "
隐龙传：影踪,,美格方互动,星游纪,,,2017-08-18,false,,,,,,,,,,,,,"ps4, "
潜龙谍影5：幻痛,Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,,,2015-09-01,false,,,,,,,,,,,,,"ps4, "
潜龙谍影5：原爆点,Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,,,2014-03-18,false,,,,,,,,,,,,,"ps4, "
战极姬3:分割天下的光与影,戦極姫3 天下を切り裂く光と影,SystemSoft Alpha,SystemSoft Alpha,2013-01-31,false,,,,,,,,,,,,,,,"pc, "
潜龙谍影HD合集,Metal Gear Solid HD Collection,Kojima Productions,Konami,,,,,,,,,,,,,,,2012-06-28,false,"psv, "
潜龙谍影3：食蛇者 3D,Metal Gear Solid: Snake Eater 3D,Kojima Productions,Konami,,,,,,,,,,,,,2012-03-08,false,,,"3ds, "
潜龙谍影 和平行者,メタルギアソリッド ピースウォーカー,Kojima Productions,Konami,,,,,,,,,,,,,,,,,"psp, "
潜龙谍影4 爱国者之枪,Metal Gear Solid 4: Guns of the Patriots,Kojima Productions,Konami,,,,,,,,,,,,,,,,,"ps3, "
潜龙谍影 掌上行动 Plus,METAL GEAR SOLID PORTABLE OPS +,Kojima Productions,Konami,,,,,,,,,,,,,,,,,"psp, "
潜龙谍影,Metal Gear Solid,Konami,Konami,1998-09-03,false,,,,,,,,,,,,,,,"pc, "
