GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
死亡终局 轮回试炼2,Death end re;Quest 2,Compile Heart,Compile Heart,,,最早发售 2020-02-13,true,,,,,,,,,,,,,"ns, ps4, "
死亡终局 轮回试炼,Death end re;Quest,Idea Factory,Compile Heart,,,最早发售 2018-04-12,true,,,,,,,,,,,,,"ns, ps4, "
