GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
舞之灵,Bound,Plastic,Sony Interactive Entertainment,,,最早发售 2016-08-16,true,,,,,,,,,,,,,"ps4, "
罗格朗的遗产 命运之歌,LEGRAND LEGACY Tale of the Fatebounds,SEMISOFT,Mayflower Entertainment,,,,,,,,,,,,,,,,,"ns, "
星界边境,Starbound,Chucklefish Games,Chucklefish Games,,,2015-12-31,false,,,,,,,,,,,,,"ps4, "
烈焰契约,Bound by Flame,Spiders,Focus Home Interactive,,,2014-05-09,false,,,,,,,,,,,,,"ps4, "
山脊赛车 无边,Ridge Racer Unbounded,Bugbear Entertainment,Bandai Namco,,,,,,,,,,,,,,,,,"ps3, "
狂野西部 生死同盟,Call of Juarez: Bound in Blood,Techland,Ubisoft,2009-06-30,false,,,,,,,,,,,,,,,"pc, "
龙鳞化身,Scalebound,PlatinumGames,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
Boundless,,Wonderstruck Games,Square Enix,,,最早发售 2018-09-12,false,,,,,,,,,,,,,"ps4, "
封书冒险队,Bookbound Brigade,Digital Tales,Intragames,,,最早发售 2020-01-30,false,,,,,,,,,,,,,"ns, ps4, "
秋叶原之旅 初次记忆,AKIBA'S TRIP ファーストメモリー,Acquire,Acquire,,,,,,,,,,,,,,,,,"ns, "
边境,Boundary,柳叶刀科技,柳叶刀科技,,,最早发售 2021-夏季,true,,,,,,,,,,,,,"ps4, "
