GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
守护者传说,Guardian Tales,Kong Studio,Kakao Games,,,,,,,,,,,,,,,,,"ios, "
黑森町绮谭,Tales of the Black Forest,拾英工作室,SakuraGame,最早发售 2019-09-26,true,,,,,,,,,,,,,,,"pc, "
破晓传说,Tales of Arise,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"xsx|s, ps5, ps4, xb1, "
天空之心 折翼传说,AIRHEART：Tales of broken Wings,Blindflug Studios AG,Blindflug Studios AG,,,,,,,,,,,,,,,,,"ns, "
世界传说 梦幻同盟,TALES OF THE WORLD RAVE UNITIA,Bandai Namco,Bandai Namco,,,,,,,,,,,,,2014-10-23,false,,,"3ds, "
仙乐传说 重制版,Tales of Symphonia,Bandai Namco,Bandai Namco,2014-02-25,false,,,,,,,,,,,,,,,"pc, "
唐老鸭历险记：高清重制版,DuckTales: Remastered,CAPCOM,Disney Interactive,2013-08-13,false,,,,,,,,,,,,,,,"pc, "
唐老鸭历险记,DuckTales,CAPCOM,CAPCOM,,,,,,,,,,,,,,,,,"gb, "
薄暮传说 终极版,テイルズ オブ ヴェスペリア REMASTER,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ns, "
巫师之昆特牌：王权的陨落,Thronebreaker: The Witcher Tales,CD PROJEKT RED,CD PROJEKT,最早发售 2018-10-23,true,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, "
水晶传说,Cris Tales,SYCK,Modus Games,,,,,,,,,,,,,,,,,"xsx|s, ps5, stadia, ns, ps4, xb1, "
最终幻想7 Ever Crisis,Final Fantasy VII: Ever Crisis,Square Enix,Square Enix,,,,,,,,,,,,,,,,,"ios, "
黑衣人 异形危机,Men In Black Alien Crisis,Fun Labs,Activision,,,,,,,,,,,,,,,,,"ps3, "
天灾 危机之日,Disaster: Day of Crisis,Nintendo,Nintendo,,,,,,,,,,,,,,,,,"wii, "
化解危机4,Time Crisis 4,Nex Entertainment,Bandai Namco,,,,,,,,,,,,,,,,,"ps3, "
碳酸危机,Soda Crisis,Team Soda,bilibili,最早发售 发售日未定,false,,,,,,,,,,,,,,,"pc, "
恐龙危机2,Dino Crisis 2,CAPCOM,CAPCOM,最早发售 2002-08-20,false,,,,,,,,,,,,,,,"pc, "
咖啡危机,Coffee Crisis,Mega Cat Studios,Mega Cat Studios,最早发售 2017-05-05,false,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, "
水晶危机,Crystal Crisis,Nicalis,Nicalis,,,最早发售 2019-06-18(美版),false,,,,,,,,,,,,,"ns, ps4, "
外星危机,Xeno Crisis,Bitmap Bureau,Bitmap Bureau,,,,,,,,,,,,,,,最早发售 2020-09-22,false,"dc, ns, ps4, xb1, pc, psv, "
恐龙危机3,Dino Crisis 3,CAPCOM,CAPCOM,,,,,,,,,,,,,,,,,"xbox, "
恐龙危机1,Dino Crisis,CAPCOM,CAPCOM,最早发售 2000-09-15,false,,,,,,,,,,,,,,,"pc, "
未传之书2,The Book of Unwritten Tales 2,King Art Games,THQ Nordic,,,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, wiiu, ps3, "
迷雾侦探,Tales of the Neon Sea,Sense Games,Zodiac Interactive,,,,,,,,,,,,,,,,,"ns, "
狂战传说,Tales of Berseria,Bandai Namco,Bandai Namco,,,2016-08-18,false,,,,,,,,,,,,,"ps4, "
情热传说,Tales Of Zestiria,Bandai Namco,Bandai Namco,,,2015-01-22,false,,,,,,,,,,,,,"ps4, "
无主之地传说,Tales from the Borderlands,Telltale Games,Telltale Games,,,2014-11-25,false,,,,,,,,,,,,,"ps4, "
心灵传说R,Tales of hearts R,7th Chord,Bandai Namco,,,,,,,,,,,,,,,2013-03-07,false,"psv, "
外星粒子觅食传说,Tales from Space: Mutant Blobs Attack,DrinkBox Studios,DrinkBox Studios,2012-02-21,false,,,,,,,,,,,,,,,"pc, "
深渊传说,Tales of the Abyss,Bandai Namco,Bandai Namco,,,,,,,,,,,,,2012-02-14,false,,,"3ds, "
圣洁传说R,Tales of Innocence R,7th Chord,Bandai Namco,,,,,,,,,,,,,,,2012-01-26,false,"psv, "
薄暮传说,テイルズ オブ ヴェスペリア,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ps3, "
传 说,Tales,Ape Marina,Screen 7,最早发售 2016-11-15,false,,,,,,,,,,,,,,,"pc, "
未传之书,The Book of Unwritten Tales,King Art Games,HMH Interactive,最早发售 2012-08-01,false,,,,,,,,,,,,,,,"pc, "
