GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
混沌之子 Love ChuChu,Chaos;Child らぶchu☆chu!!,5pb.,5pb.,,,2017-03-30,false,,,,,,,,,,,,,"ps4, "
混沌之子,CHAOS;CHILD,Nitro+,5pb.,,,2014-12-18,false,,,,,,,,,,,,,"ps4, "
