GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
我的英雄学院：为万物而战,僕のヒーローアカデミ：バトル・フォー・オール,动作,Bandai Namco,,,,,,,,,,,,,2016-05-19,false,,,"3ds, "
我的英雄学院 唯我正义,My Hero Academia: One’s Justice,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ns, "
我的英雄学院 唯我正义2,My Hero Academia: One’s Justice 2,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
