GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
杀出重围 人类革命 导演剪辑版,Deus Ex: Human Revolution — Director's Cut,Eidos,Square Enix,2013-10-22,false,,,,,,,,,,,,,,,"pc, "
杀出重围：人类革命,Deus Ex: Human Revolution,Eidos,Square Enix,2011-08-23,false,,,,,,,,,,,,,,,"pc, "
杀出重围,Deus Ex,Ion Storm,Eidos,2000-06-17,false,,,,,,,,,,,,,,,"pc, "
杀出重围：人类分裂,Deus Ex: Mankind Divided,Eidos,Square Enix,,,2016-08-23,false,,,,,,,,,,,,,"ps4, "
