GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
孤岛危机,Crysis,Crytek,EA,2007-11-13,false,,,,,,,,,,,,,,,"pc, "
孤岛危机2,Crysis 2,Crytek,EA,2011-03-22,false,,,,,,,,,,,,,,,"pc, "
孤岛危机3,Crysis 3,Crytek,EA,2013-02-19,false,,,,,,,,,,,,,,,"pc, "
孤岛危机 重制版,Crysis Remastered,Saber Interactive,Crytek,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
孤岛危机 重制版 三部曲合集,Crysis Remastered Trilogy,Crytek,Crytek,,,,,,,,,,,,,,,,,"xsx|s, ps5, ns, ps4, xb1, "
