GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
尸体派对：血色笼罩 无限恐怖,コープスパーティー ブラッドカバー リピーティッドフィアー,Team GrisGris,5pb.,,,,,,,,,,,,,2015-07-30,false,,,"3ds, "
尸体派对：驭血,Corpse Party: Blood Drive,Team GrisGris,5pb.,,,,,,,,,,,,,,,2014-07-24,false,"psv, "
尸体派对,コープスパーティー ブラッドカバーリピーティッドフィアー,5pb.,5pb.,,,,,,,,,,,,,2010-08-12,false,,,"3ds, "
