GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
进击的巨人 人类最后之翼,進撃の巨人 ～人類最後の翼～,Spike Chunsoft,Spike Chunsoft,,,,,,,,,,,,,2013-12-05,false,,,"3ds, "
进击的巨人,进撃の巨人,Koei Tecmo,Koei Tecmo,,,2016-02-18,false,,,,,,,,,,,,,"ps4, "
进击的巨人2,進撃の巨人2,Omega Force,Koei Tecmo,,,,,,,,,,,,,,,,,"ns, "
进击的巨人2 未来的坐标,進撃の巨人2 未来の座標,Spike Chunsoft,Spike Chunsoft,,,,,,,,,,,,,2017-11-30,false,,,"3ds, "
进击的巨人 逃出生天,進撃の巨人　死地からの脱出,Ruby Party,Koei Tecmo,,,,,,,,,,,,,2017-05-11,false,,,"3ds, "
进击的巨人2 最终之战,進撃の巨人2ファイナルバトル,Omega Force,Koei Tecmo,,,,,,,,,,,,,,,,,"stadia, ns, ps4, xb1, "
