GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
魔鬼恋人：暗黑命运,Diabolik Lovers: Dark Fate,Otomate,Idea Factory,,,,,,,,,,,,,,,2015-02-26,false,"psv, "
魔鬼恋人：血祭 限定版,Diabolik Lovers More,Otomate,Idea Factory,,,,,,,,,,,,,,,2015-01-15,false,"psv, "
魔鬼恋人：死祭狂欢,Diabolik Lovers Vandead Carnival,Otomate,Idea Factory,,,,,,,,,,,,,,,2014-12-04,false,"psv, "
魔鬼恋人：加强版,Diabolik Lovers Limited V Edition,Otomate,Idea Factory,,,,,,,,,,,,,,,2013-12-19,false,"psv, "
