GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
光明记忆：无限,Bright Memory Infinite,"xsx|s, ps5, ",飞燕群岛,飞燕群岛,,,,,最早发售 发售日未定,false,,,,,,,,,,
光明记忆,Bright Memory,"xsx|s, ",飞燕群岛,飞燕群岛,,,,,,,,,,,,,,,,
