GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
除夕：双鱼玉佩,Immortal Legacy: The Jade Cipher,"ps4, ",万岁游戏,Sony Interactive Entertainment,,,2019-04-17,false,,,,,,,,,,,,
世界树迷宫X,世界樹の迷宮X,"3ds, ",Atlus,Atlus,,,,,,,,,,,,,2018-08-02,false,,
龙珠英雄 终极任务 X,ドラゴンボールヒーローズ アルティメットミッション X,"3ds, ",卡牌,Bandai Namco,,,,,,,,,,,,,2017-04-27,false,,
星战前线：X翼战机VR任务,Star Wars Battlefront: X-Wing VR Mission,"ps4, ",DICE,EA,,,2016-12-06,false,,,,,,,,,,,,
初音未来：歌姬计划X HD,初音ミク Project DIVA X HD,"ps4, ",SEGA,SEGA,,,2016-08-25,false,,,,,,,,,,,,
跨界计划2 勇气新世界,Project X Zone 2: Brave New World,"3ds, ",Monolith Soft,Bandai Namco,,,,,,,,,,,,,2015-11-12,false,,
基地X龙之子 传奇,Azito x Tatsunoko Legends,"xb1, ",Hamster Corporation,Hamster Corporation,,,,,,,,,,,,,,,,
X战将2：最终原型,S?ldner-X 2: Final Prototype,"psv, ps3, ",射击,SideQuest Studios,,,,,,,,,,,,,,,2015-03-17,false
方块跌落X 扭曲融合,Blok Drop x Twisted Fusion,"wiiu, ",Leuvision,Leuvision,,,,,,,,,,,,,,,,
海贼王 超伟大之战X,ワンピース 超グランドバトル! X,"3ds, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,2014-11-13,false,,
极速冒险2X,Velocity 2X,"ps4, ",FuturLab,FuturLab,,,最早发售 2014-09-02,true,,,,,,,,,,,,
特种部队 X小队,Special Forces:Team X,"x360, ",Team X,Team X,,,,,,,,,,,,,,,,
