GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
蝙蝠侠：阿克汉姆起源 黑门,Batman: Arkham Origins Blackgate,"pc, wiiu, psv, 3ds, ps3, x360, ",Armature Studio,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,2013-10-25,false,2013-10-25,false
蝙蝠侠：阿克汉姆起源,Batman: Arkham Origins,"pc, wiiu, ps3, x360, ",Warner Bros. Games,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,
双重起源,ルートダブル -Before Crime * After Days-,"ps3, ",Register,Yeti,,,,,,,,,,,,,,,,
雷曼：起源,Rayman Origins,"pc, psv, 3ds, ps3, x360, wii, ",Ubisoft,Ubisoft,2012-04-14,false,,,,,,,,,,,2012-04-14,false,2012-04-14,false
牧场物语:起源的大地3D,Harvest Moon 3D: A New Beginning,"3ds, nds, ",Marvelous,Natsume,,,,,,,,,,,,,2012-02-23,false,,
战神 起源 收藏版,God of War Origins Collection,"ps3, ",Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
龙腾世纪 起源,Dragon Age: Origins,"pc, ps3, x360, ",BioWare,EA,2009-11-03,false,,,,,,,,,,,,,,
极度恐慌2：起源计划,F.E.A.R. 2: Project Origin,"pc, ps3, x360, ",Warner Bros. Games,Warner Bros. Games,2009-02-10,false,,,,,,,,,,,,,,
鬼魂力量 起源,スペクトラルフォース ジェネシス,"psv, nds, ",Idea Factory,Idea Factory,,,,,,,,,,,,,,,2008-06-19,false
寂静岭：起源,Silent Hill The Origin,"psp, ps2, ",Climax Studios,Konami,,,,,,,,,,,,,,,,
反恐精英：起源,Counter-Strike: Source,"pc, ",Valve,Valve,2004-11-01,false,,,,,,,,,,,,,,
我的起源,,"android, ",完美世界(Perfect World),腾讯游戏,,,,,,,,,,,,,,,,
刺客信条 起源,Assassin’s Creed Origins,"ps4, xb1, pc, ",Ubisoft,Ubisoft,2017-10-27,false,2017-10-27,false,,,,,,,,,,,,
御姐玫瑰 起源,お姉チャンバラORIGIN,"ps4, ",D3 Publisher,D3 Publisher,,,最早发售 2019-12-05,true,,,,,,,,,,,,
