GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
进击的巨人 人类最后之翼,進撃の巨人 ～人類最後の翼～,"3ds, ",Spike Chunsoft,Spike Chunsoft,,,,,,,,,,,,,2013-12-05,false,,
进击的巨人,进撃の巨人,"ps4, xb1, pc, psv, ps3, ",Koei Tecmo,Koei Tecmo,2016-02-18,false,2016-02-18,false,,,,,,,,,,,2016-02-18,false
进击的巨人2,進撃の巨人2,"ns, ps4, xb1, pc, psv, ",Omega Force,Koei Tecmo,2018-03-15,false,2018-03-15,false,,,,,,,,,,,2018-03-15,false
进击的巨人2 未来的坐标,進撃の巨人2 未来の座標,"3ds, ",Spike Chunsoft,Spike Chunsoft,,,,,,,,,,,,,2017-11-30,false,,
进击的巨人 逃出生天,進撃の巨人　死地からの脱出,"3ds, ",Ruby Party,Koei Tecmo,,,,,,,,,,,,,2017-05-11,false,,
进击的巨人2 最终之战,進撃の巨人2ファイナルバトル,"stadia, ns, ps4, xb1, ",Omega Force,Koei Tecmo,,,最早发售 2019-07-04,true,,,,,,,,,,,,
