JobName,CompanyName,WorkingArea,Salary
大数据算法开发岗,中移信息技术有限公司,北京-西城区,2-2.5万/月
软件控制与视觉算法工程师,富士康电子工业发展（昆山）有限公司,昆山,0.8-1.2万/月
算法工程师(J10509),湖南三一泵送机械有限公司,长沙,1.3-3万/月
运动控制算法工程师,沈机（上海）智能系统研发设计有限公司,上海,1-2.5万/月
算法工程师,广州思创科技股份有限公司,广州-黄埔区,20-30万/年
资深电容触摸屏算法工程师,上海新相微电子股份有限公司,上海,40-80万/年
3D算法工程师,盎锐（上海）信息科技有限公司,上海,1.5-2万/月
激光SLAM定位算法工程师,上海同温层智能科技有限公司,上海-徐汇区,2-4万/月
AI算法工程师,研扬科技（苏州）有限公司武汉办事处,武汉,1-1.5万/月
图像处理算法工程师,英特维科技（深圳）有限公司,深圳-南山区,1.3-2.6万/月
AI图像算法工程师,上海矩子科技股份有限公司,苏州,15-25万/年
控制算法工程师,北京恒安众生科技有限公司,北京-昌平区,1.5-2.5万/月
调度算法工程师,广州市联柔机械设备有限公司,广州-黄埔区,1.2-2.5万/月
深度学习算法工程师,浙江杜比医疗科技有限公司,杭州-萧山区,1.5-3万/月
图像算法工程师,杭州脉流科技有限公司,杭州,1.2-2.4万/月
算法工程师,上海加冠信息科技有限公司,苏州,6-8千/月
算法工程师,南京导纳能科技有限公司,南京-栖霞区,0.8-1万/月
算法工程师,江苏汉云智数科技有限公司,上海,6-8千/月
图像算法工程师,恒意得机器视觉,上海-浦东新区,20-30万/年
算法工程师,佛山市星曼信息科技有限公司,佛山-顺德区,2-3万/月
深度学习算法工程师,无锡尚实电子科技有限公司,无锡-惠山区,1.5-2.5万/月
算法工程师（指纹算法）,宇起数字科技（上海）有限公司,上海-黄浦区,2.5-5万/月
机器学习算法工程师,天宇正清科技有限公司,郑州-管城回族区,1.3-1.8万/月
AI工程师（算法研发方向）,上海邦定智慧科技有限公司,上海-浦东新区,2.6-5万/月
算法工程师,广州永诺生物科技有限公司,佛山-禅城区,1.5-2.5万/月
算法工程师,上海时觉物联网科技有限公司,上海-黄浦区,2.5-3.5万/月
算法工程师,成都安则优科技有限公司,成都-武侯区,1-3万/月
算法工程师,上海国微思尔芯技术股份有限公司,上海-浦东新区,40-100万/年
视觉感知算法工程师  双休,广州力多机器人智能科技有限公司,广州-南沙区,3-4万/月
区块链算法工程师,深圳市柒零壹科技有限公司,深圳-南山区,2-3万/月
算法工程师,上海兆煊微电子有限公司,上海-浦东新区,3-4万/月
算法工程师（图像增强）,深圳市格灵人工智能与机器人研究院,深圳-南山区,1.8-3.5万/月
CT成像算法工程师,上海优医基医疗器械有限公司,上海-浦东新区,1.8-3.5万/月
算法(助理)工程师,东莞市元井智能科技有限公司,东莞-常平镇,0.8-1万/月
3D视觉算法工程师,上海库灵科技有限公司,上海-浦东新区,2.5-3.5万/月
算法工程师,上海精谱科技有限公司,西安-雁塔区,1-1.5万/月
导航算法工程师,千巡科技（深圳）有限公司,深圳-宝安区,1.7-3.3万/月
算法工程师（心电信号处理方向）,武汉中旗生物医疗电子有限公司,武汉-洪山区,1-1.8万/月
图像算法工程师,深圳市鑫信腾科技股份有限公司,深圳-宝安区,1.5-3万/月
视觉算法工程师,深圳市睿达科技有限公司,深圳-南山区,2-3万/月
运动健康算法工程师,武汉齐物科技有限公司,武汉-洪山区,1.5-2万/月
算法工程师,武汉全品教育科技有限公司,武汉,1.5-2万/月
算法工程师,南京溯远基因科技有限公司,南京-玄武区,1.5-2万/月
通信算法工程师,南京星航通信技术有限公司,南京-江宁区,1.5-2.5万/月
算法工程师,慧感（上海）物联网科技有限公司,上海-嘉定区,1-1.5万/月
算法工程师,广州博微智能科技有限公司,广州-天河区,1.5-2万/月
高级软件工程师（算法实现）,上海莫吉娜智能信息科技有限公司,上海-徐汇区,1.5-3万/月
算法工程师(石家庄),北京中恒博瑞数字电力科技有限公司,石家庄-裕华区,0.8-1.2万/月
3D图形算法工程师（C++）,上海芯钬量子科技有限公司,上海-浦东新区,1.5-2万/月
算法工程师,南京物盟信息技术有限公司,南京-江宁区,0.8-1.5万/月
算法工程师（惯导）,上海竹格智能传感技术有限公司,上海-浦东新区,2.5-3万/月
AGV调度算法工程师,科大智能科技股份有限公司,上海-松江区,1.5-2.5万/月
算法工程师,深圳市翎盟科技有限公司,深圳-南山区,1.5-2万/月
深度学习图像算法工程师,广州市易鸿智能装备有限公司,广州-番禺区,1.5-2.5万/月
机器视觉算法工程师,中航华东光电（上海）有限公司,上海,28-30万/年
算法工程师,深圳市倍量电子有限公司,深圳,1-2万/月
运动控制算法工程师,深圳博鹏智能科技有限公司,深圳-龙华区,1.5-3万/月
资深工业视觉算法工程师(自动化),深圳市海目星激光智能装备股份有限公司,深圳-龙华区,3-6万/月
飞行控制算法工程师,沃飞长空科技（成都）有限公司,成都-高新区,1.5-2万/月
算法工程师,中电科数智科技有限公司,上海-徐汇区,1.5-3万/月
软件算法工程师,安科瑞电气股份有限公司,上海,1-2万/月
软件算法工程师,上海锐植医疗器械有限公司,上海-闵行区,1-1.5万/月
算法工程师,复星诊断科技（上海）有限公司,上海-宝山区,1.5-3万/月
算法工程师,四川凯普顿信息技术股份有限公司,成都-武侯区,1.8-3万/月
高级算法工程师,北京晶众智慧交通科技股份有限公司,北京-朝阳区,3-4万/月
机器人算法工程师,地标科技（深圳）有限公司,深圳-福田区,4-5万/月
系统控制算法工程师,成都中天自动化控制技术有限公司,成都-高新区,1-2万/月
视觉算法工程师,零氪科技,北京-海淀区,2-3万/月
图像算法负责人,云南航天工程物探检测股份有限公司,昆明,2-2.5万/月
算法工程师,中国电子科技集团公司第二十二研究所青岛分所,青岛-城阳区,1-1.5万/月
缺陷识别算法工程师,中电科风华信息装备股份有限公司,上海-浦东新区,2-2.5万/月
无人机飞控算法工程师,杭州佳翼科技有限公司,杭州-滨江区,0.8-1万/月
SLAM高级算法工程师,南京西新人工智能研究院有限公司,南京-秦淮区,1.5-3万/月
高级运动控制算法工程师（AGV）,北京歌锐科技有限公司,北京-朝阳区,2.5-4.5万/月
机器视觉算法工程师,东莞市泉准电子科技有限公司,东莞-南城区,1.5-2.5万/月
算法工程师,上海中产网络科技有限公司,上海-徐汇区,1.5-2万/月
IPFS开发工程师（算法工程师）双休,阳光联盟信息科技（昆山）有限公司,昆山,40-70万/年
算法工程师,宽腾集团,沈阳-浑南区,1.5-2万/月
高级算法工程师,深圳越为科技有限公司,深圳,3.2-4.8万/月
算法工程师,深圳市安保科技有限公司,深圳,1.2-2.4万/月
振动和声学算法工程师,昇腾技术（深圳）有限公司,深圳,1-1.5万/月
AI人工智能算法工程师（图像、视频方向）,北京中星微电子有限公司,上海-浦东新区,2-3万/月
算法工程师,成都乐享智家科技有限责任公司,成都-高新区,0.8-1.3万/月
高级图像处理算法工程师,四川索牌科技股份有限公司,成都-高新区,1-1.5万/月
AI算法工程师（图像处理/高级）,某知名互联网金融,广州,30-40万/年
通信算法工程师,上海创远仪器技术股份有限公司,南京-江宁区,2-2.5万/月
人工智能AI算法工程师/专家,杭州云之鼎数据科技有限公司,杭州-余杭区,2-4万/月
融合感知算法工程师,沧州欧义艾姆科技有限公司,上海-徐汇区,3-5万/月
图像处理与模式识别算法工程师,知名运营商全资子公司,广州,25-35万/年
3D点云处理算法工程师,苏州深浅优视智能科技有限公司,苏州-工业园区,1.8-3万/月
图像算法工程师,深圳市菁优智慧教育股份有限公司,深圳-南山区,1.5-2.5万/月
图像算法工程师,深圳康桥软件技术有限公司,深圳-南山区,2-3万/月
图像算法软件工程师,湖南大学科技园有限公司,长沙-岳麓区,1-1.8万/月
图像算法工程师,上海银马科技有限公司,上海-浦东新区,1.5-3万/月
高级AI视觉算法工程师,上上德盛集团有限公司上海分公司,上海-嘉定区,2-2.5万/月
通信算法工程师,新岸线（北京）科技集团有限公司,北京,1.5-3万/月
算法工程师,杭州鲁尔物联科技有限公司,杭州-余杭区,1.5-2.5万/月
算法工程师,长沙景嘉微电子股份有限公司,长沙,2-4万/月
人工智能资深算法工程师（图像、视频方向）,中星电子股份有限公司,上海-浦东新区,3-4万/月
AI智能算法工程师,广州市吉星信息科技有限公司,广州-黄埔区,1.5-2万/月
机器人算法工程师,深圳市杰思谷科技有限公司,深圳-南山区,1.5-2万/月
质谱算法工程师,武汉迈特维尔生物科技有限公司,上海-青浦区,1-2.5万/月
无线通讯算法工程师,大摩智讯科技（宁波）有限责任公司,宁波-奉化区,1-2.5万/月
人工智能（AI）算法工程师,广东工科机电有限公司,佛山,1-1.5万/月
算法工程师,南京荣飞科技股份有限公司,南京-鼓楼区,1.8-3万/月
人工智能算法工程师（图像视觉）,深圳中科保泰科技有限公司,深圳,2-4万/月
图像算法工程师/视觉算法工程师/机器视觉工程师,上海御微半导体技术有限公司,上海-浦东新区,2-3.5万/月
算法工程师,奥比中光科技集团股份有限公司,上海-普陀区,2.5-4万/月
AGV算法工程师,上海钜泰工具有限公司,上海,1.5-3万/月
算法工程师,有方（合肥）医疗科技有限公司,合肥-经开区,1-3万/月
算法工程师,民航成都电子技术有限责任公司,成都-武侯区,12-25万/年
算法研发工程师（深海组）,中国科学院声学研究所东海研究站,上海-嘉定区,18-35万/年
算法工程师,陕西西建大聚慧软件科技有限公司,西安-碑林区,1-1.5万/月
图像算法工程师,深圳市罗格斯智能设备制造有限责任公司,惠州,1.3-2.5万/月
控制算法工程师,云创智行科技（苏州）有限公司,苏州-工业园区,2-4万/月
算法工程师,浙江普可医疗科技有限公司,杭州,1-1.5万/月
图形图像算法工程师,华强方特文化科技集团股份有限公司,深圳,1-2万/月
机器视觉算法工程师（东莞）,深圳市创石科技有限公司,东莞,1.5-3万/月
