JobName,CompanyName,WorkingArea,Salary
商务数据分析专家,百威（厦门）管理运营有限公司,厦门,1-1.5万/月
营运 数据分析,喜士多便利店C-STORE-零售业-连锁,上海-静安区,1-2万/月
G商品数据分析师,星创视界（中国）集团有限公司,上海-普陀区,5-9千/月
SFE主管（销售数据分析主管）,香港澳美制药厂有限公司,广州,0.8-1.2万/月
数据分析师,马应龙药业集团股份有限公司,武汉-洪山区,1-1.2万/月
供应链数据分析师(J17605),上海药明康德新药开发有限公司,上海-浦东新区,
1742XD-数据分析岗（万州）,平安普惠企业管理有限公司重庆分公司,重庆-万州区,6-8千/月
初级数据分析师 实习生,深圳市博瑞纳电子商务有限公司,深圳-宝安区,6-8千/月
数据分析专员( 数据 电话 销售 调查员）,Veeva Systems Inc,大连-沙河口区,4.5-6千/月
数据分析员,昆明伊纳服饰有限公司,昆明-官渡区,4.5-8千/月
数据分析主任,维他奶有限公司,上海-长宁区,1.5-2万/月
数据分析师（五险一金+双休+高温补贴+每年体检）,宁波科拓进出口有限公司,宁波,0.7-1万/月
数据分析师,深圳华策辉弘科技有限公司,深圳-福田区,1.3-1.5万/月
数据分析师,武汉市爱之家实业有限公司,武汉-硚口区,0.8-1.2万/月
高级数据分析师,重庆慧都科技有限公司,重庆-九龙坡区,0.8-1万/月
数据分析高级工程师,一品红药业股份有限公司,广州-海珠区,1-2万/月
资深数据分析师,广州菲鹿儿商贸有限公司,广州-天河区,1.2-1.8万/月
数据分析师,广州厉盛科技有限公司,广州-荔湾区,0.8-1.5万/月
数据分析师,天津尚赫保健用品有限公司,天津-南开区,4-6千/月
数据分析师（HR方向）,美丽田园医疗健康产业有限公司,上海-虹口区,1-1.5万/月
售前数据分析岗,上海黑瞳信息技术有限公司,上海-浦东新区,1-1.5万/月
数据分析师,银隆投资咨询（广州）有限公司,广州-白云区,0.8-1万/月
电商数据分析专员,上海热风时尚企业发展有限公司,上海-闵行区,7-9千/月
市场内勤/市场助理（数据分析师）,昆山迪安医学检验实验室有限公司,昆山,6-8千/月
数据分析专员Sales Operations（知名美资-浦东）,上海中智项目外包咨询服务有限公司,上海-浦东新区,0.8-1.2万/月
数据分析工程师,武汉英泰斯特电子技术有限公司,武汉-东湖新技术产业开发区,0.8-1.4万/月
数据分析师,网联云区块链技术（深圳）有限公司,深圳-龙岗区,0.8-1万/月
信息主管（信息管理/数据分析）,成都武侯双楠恩喜医疗美容门诊部有限公司,成都-武侯区,4.5-6千/月
数据分析,深圳市安奈儿股份有限公司,深圳-龙岗区,6-8千/月
初级数据分析师,深圳市诚达通国际货运代理有限公司,深圳-宝安区,0.8-1.2万/月
中国联通数据分析师,诚伯信息有限公司,广州-天河区,1-1.4万/月
数据分析专员,深圳市尚夏实业有限公司,深圳-宝安区,6-9千/月
销售数据分析,安徽省才莱商贸有限公司,合肥,4-6千/月
数据分析师,湖南五维家大家居产业链有限公司,长沙-长沙县,1-1.5万/月
数据分析专员（应届实习不限经验）,厦门智汇祥盈科技有限公司,厦门,4.5-6千/月
数据分析助理（双休）,广州优品数据科技有限公司,广州-天河区,0.6-1万/月
数据分析师,厦门谦迅达网络科技有限公司,厦门,6-8千/月
数据分析,广东铭太信息科技有限公司,广州,5-8千/月
数据分析专员,上海锦马企业发展有限公司,上海-普陀区,0.6-1万/月
数据分析师,广州智能科技发展有限公司,广州,6-8千/月
数据分析师（RRCH）,中原（中国）房地产代理有限公司,上海-浦东新区,0.8-1.5万/月
数据分析师/BI工程师,凯德（中国）企业管理有限公司,武汉-硚口区,0.6-1.2万/月
运营数据分析,湖州御梵化妆品科技有限公司,苏州-相城区,2-3.8万/月
数据分析师,上海古道商务咨询有限公司,武汉-武昌区,0.8-1.2万/月
数据分析建模（驻场银行-成本方向）,深圳市长亮科技股份有限公司,深圳-南山区,1.2-2万/月
数据分析师,四川中天浩会计师事务所有限公司,广州-天河区,6-8千/月
数据分析员,深圳市递四方速递有限公司,上海-闵行区,0.6-1万/月
数据分析工程师,康希诺生物股份公司,天津,0.8-1万/月
数据分析,中资宏德资本管理有限公司,大连-沙河口区,0.8-1万/月
数据分析师（BI）,上海涓海贸易有限公司,上海-闵行区,1.4-2.2万/月
数据分析师,寰图（中国）有限公司,广州-天河区,1-1.5万/月
数据分析师,T3出行,苏州-相城区,1-1.5万/月
数据分析主管,亿嘉和科技股份有限公司,南京-雨花台区,1-1.5万/月
数据分析师,四联创业集团股份有限公司,北京-石景山区,2-4万/月
数据分析专员（实业公司）,东莞市水务集团有限公司,东莞,12-18万/年
数据分析专员,中山研拓打印机设备有限公司,中山,3.6-5千/月
数据分析员,深圳市安瑞创电子科技有限公司,深圳-龙华区,0.6-1万/月
数据分析师,南京紫泰旗健康管理有限公司,南京-江宁区,0.5-1万/月
数据分析专员,深圳蒙牛贸易有限公司,深圳-宝安区,6-8千/月
数据分析运营经理,南宁贝壳房地产经纪有限公司,南宁-青秀区,1.2-1.6万/月
数据分析师,立信（深圳）数据科技有限公司,深圳-罗湖区,6-8千/月
数据分析员,广东歌蒂诗服饰有限公司,广州-白云区,6-8千/月
数据分析工程师,上海宜氪数据科技有限公司,上海-浦东新区,1-2万/月
高级/资深游戏数据分析师 (MJ000186),广州光娱信息科技有限公司,广州-天河区,1.5-2.5万/月
数据分析师（急聘）,四川七维文化旅游股份有限公司,成都-高新区,5-8千/月
资深数据分析师,上海宝立电子商务有限公司,上海-静安区,1.2-1.6万/月
数据分析师（6-8k）双休,山东远邦数据科技有限公司,济南-高新区,6-8千/月
数据分析师,杭州跃远科技有限公司,杭州-滨江区,5-8千/月
数据分析师,广州国交润万交通信息有限公司,广州,0.6-1万/月
数据分析师,湖北通商建设集团有限公司,武汉-黄陂区,5-8千/月
行业数据分析师,Supplyframe China,苏州,1-2万/月
助理医疗数据分析师,北京博睿同信医药信息咨询有限责任公司,北京-朝阳区,1-1.5万/月
研策数据分析专员,大悦城商业管理（北京）有限公司昆明分公司,昆明-西山区,5-6.5千/月
数据分析师（量化研究方向）,上海联和金融信息服务有限公司,杭州-上城区,2-3万/月
临床数据分析师、医学遗传分析师,杭州金诺医学检验实验室有限公司,杭州,0.8-1.5万/月
数据分析经理/运营经理/主管,苏州闹海科技有限公司,苏州,1-2万/月
数据分析师,广州樊文花化妆品有限公司,广州-天河区,6-9千/月
中医大数据分析师,万贝医疗健康科技（上海）有限公司,上海-闵行区,1-1.5万/月
数据分析师助理/双休,国大智科（深圳）信息技术有限公司,深圳-南山区,1-1.5万/月
数据分析助理,广州常胜电商贸易有限公司,广州-越秀区,4.5-6千/月
数据分析工程师,杭州数行科技有限公司,杭州-西湖区,1-2万/月
业务助理/数据分析员,中银保险有限公司广州中心支公司,广州-海珠区,4.5-6千/月
数据分析师,东莞海宝电子热传科技有限公司,东莞-高埗镇,4.5-6千/月
数据分析师（双休+13薪）,广州帝诺科技有限公司,广州-天河区,0.8-1.5万/月
商品数据分析师,佛山市银鳞堂科技有限公司,广州-荔湾区,0.7-1.2万/月
数据分析师,长沙远望软件技术有限公司,长沙,0.5-1万/月
数据分析师,日播时尚集团股份有限公司,上海-松江区,1-1.5万/月
数据分析师,深圳怀新企业投资顾问股份有限公司,深圳,1-1.5万/月
数据分析师,上海百特喜餐饮管理有限公司,上海-徐汇区,0.9-1.5万/月
高级生物信息/生信分析/数据分析,武汉博越致和生物科技有限公司,武汉,0.8-1.2万/月
数据分析员,花安堂生物科技集团有限公司,广州-番禺区,4.5-6千/月
数据分析专员,泰案联信息技术（上海）有限公司,上海-静安区,0.6-1万/月
行业数据分析师,慧科讯业(北京)网络科技有限公司南京分公司,南京-秦淮区,0.8-1.1万/月
Senior Data Analyst 高级数据分析师,上海唯都市场营销策划股份有限公司,上海-徐汇区,1-1.5万/月
数据分析师,“前程无忧”51job.com（上海）,上海-浦东新区,
数据分析师,福建国通星驿网络科技有限公司,福州-马尾区,6-8千/月
数据分析员,广州曼伯特供应链管理有限公司,广州-黄埔区,5-8千/月
数据分析文员/助理,北京新新精艺礼品有限公司,广州-天河区,5-7千/月
数据分析+线上运营+管理方向+二手房市场,上海链家,上海-静安区,0.8-1.3万/月
数据分析师,上海翰鑫信息科技有限公司,上海-浦东新区,1-1.5万/月
数据分析助理,成都拓普颐德科技有限公司,成都-锦江区,6-8千/月
APP数据分析助理/接受无经验/入职五险一金,武汉市优鲜驿站科技有限公司,武汉-东湖新技术产业开发区,6-8千/月
数据分析专员,快钱支付清算信息有限公司,上海-浦东新区,0.8-1万/月
数据分析师,山东澳威企业管理咨询有限公司,济南-历城区,6-8千/月
保底5000销售业务数据分析,成翰信息,上海-浦东新区,1-1.5万/月
数据分析师w,北京鑫雨银通投资管理有限公司,北京-朝阳区,1-1.5万/月
数据分析（北京）,深圳市腾讯计算机系统有限公司,北京,1.5-2万/月
28481-数据分析师（分析评估方向）（北京）,深圳市腾讯计算机系统有限公司,北京,
数据分析师,海澜集团有限公司,无锡-江阴市,5-7千/月
数据分析师,中饮巴比食品股份有限公司,上海-松江区,1.5-2万/月
BI数据分析师,珂尔时尚（广州）品牌管理有限公司,广州-番禺区,0.8-1.6万/月
数据分析师+站外数据,嘉美洛有限公司,广州-白云区,1-1.5万/月
数据统计/数据分析部（副主管）,美国Selleck生物科技有限公司（中国分公司）,上海-浦东新区,1-1.3万/月
数据分析师,武汉厚健投资有限公司,武汉-江岸区,0.8-1万/月
数据分析师,杭州优迈科技有限公司,杭州-临安区,1-1.5万/月
基因数据分析师（生物信息二代测序）,苏州宏元生物科技有限公司,苏州-工业园区,0.8-1.2万/月
大数据分析师,深圳才通企业管理咨询有限公司,深圳-龙岗区,1.1-1.8万/月
数据分析师,山东华夏良子健康管理有限公司,济南-历下区,4.5-6千/月
高级生物信息数据分析师,江苏傲因医疗科技有限公司,南京-浦口区,1-1.5万/月
售电数据分析专员,广东光合新能源,佛山-南海区,5-8千/月
商务数据分析员,上海祥祺工艺品有限公司,上海-浦东新区,0.8-1.3万/月
数据分析师,无锡乐骐科技股份有限公司,无锡-滨湖区,0.6-1万/月
数据分析师,上海金盏企业管理有限公司,济南-高新区,1-1.8万/月
数据分析师,京喜,武汉-江汉区,1-1.5万/月
数据分析师,浙江由由科技有限公司,杭州-余杭区,2-2.5万/月
