JobName,CompanyName,WorkingArea,Salary
算法工程师/数据挖掘工程师,浙江爱旭太阳能科技有限公司,义乌,1-2万/月
算法工程师-数据挖掘,知行汽车科技（苏州）有限公司,苏州-工业园区,1.5-3万/月
POI算法-空间知识图谱-数据挖掘算法工程师,美团,北京-朝阳区,
数据挖掘高级工程师 FC,三斧科技（北京）有限公司,北京-丰台区,1.5-2.5万/月
数据挖掘工程师,深圳市丰宜科技有限公司,深圳-福田区,1.5-2.5万/月
数据挖掘算法工程师,武汉中海庭数据技术有限公司,武汉-洪山区,1.2-1.8万/月
数据挖掘算法工程师,江西科晨洪兴信息技术有限公司,南昌-青山湖区,0.6-1.2万/月
数据挖掘工程师,福建星汉信息科技有限公司,福州,0.8-2万/月
数据挖掘工程师（量化分析）,华昆工程管理咨询有限公司,昆明-盘龙区,12-20万/年
数据挖掘工程师,广东联通通信建设有限公司,广州-天河区,15-25万/年
信息科技部-数据建模挖掘岗,北京阳光消费金融股份有限公司,北京,
数据挖掘工程师,神州数码信息服务股份有限公司,乌鲁木齐,1.1-2万/月
本地生活-算法专家-数据挖掘,阿里巴巴集团,杭州,
高级数据挖掘工程师,亚信科技CMC,成都-高新区,1.2-2.2万/月
AI工程师（数据挖掘）,亚信科技CTC,成都-武侯区,1.5-2万/月
数据挖掘师,亚信科技OBC,西安-雁塔区,0.7-1万/月
AI工程师（数据挖掘）,电信事业部,成都-高新区,1.5-2.5万/月
数据挖掘工程师—社区产品,字节跳动,北京,2-4万/月
《56万顶薪》数据挖掘工程师01,Topgames,广州,1.8-2.8万/月
高级数据挖掘工程师,深圳市腾讯计算机系统有限公司,深圳,3-4万/月
数据挖掘工程师,广东荣文科技集团有限公司,东莞-松山湖区,1.5-2万/月
数据挖掘工程师,广东泰迪智能科技股份有限公司,广州-黄埔区,1-1.5万/月
数据挖掘工程师（数据组）,深圳兔展智能科技有限公司,深圳-南山区,1.5-2万/月
数据挖掘工程师,广州市网迅信息技术有限公司,肇庆-端州区,0.7-1.3万/月
数据挖掘与分析工程师（DATATHON）,吉致汽车金融有限公司,上海,
数据建模/数据挖掘,广东亚太创新经济研究院,广州-天河区,1.5-2.5万/月
数据分析/挖掘无人驾驶方向,深圳抖屏科技有限公司,深圳-宝安区,0.8-1万/月
数据挖掘工程师,西部数据,上海-闵行区,2-3万/月
数据挖掘工程师,深圳市神火照明有限责任公司,深圳-龙岗区,1.5-2.5万/月
数据算法/数据挖掘工程师 (MJ000104),上海联恩商钥互联网科技股份有限公司,苏州-姑苏区,1.5-2.5万/月
数据挖掘工程师,北京神讯信息科技有限公司宁夏分公司,银川,1-1.5万/月
数据挖掘工程师,上海趣致网络科技有限公司,上海-杨浦区,1.5-3万/月
数据挖掘工程师/算法工程师,道格集团,广州-天河区,2-2.5万/月
数据挖掘工程师,深圳宇创时代科技有限公司,深圳-南山区,1.5-2.5万/月
数据挖掘工程师,杭州安脉盛智能技术有限公司,杭州,1.5-3万/月
数据挖掘工程师6-10K+可实习,青岛嘉淼网络科技有限公司,青岛-市南区,0.6-1.2万/月
数据挖掘工程师,艾瑞咨询集团,上海-徐汇区,2.5-3.5万/月
AI工程师(数据挖掘）,四川天上友嘉网络科技有限公司,成都,2-4万/月
数据挖掘工程师,武汉安天信息技术有限责任公司,武汉,0.9-1.4万/月
数据挖掘工程师,广州拉卡拉网络小额贷款有限责任公司,深圳-南山区,25-50万/年
数据挖掘工程师,广东三头六臂信息科技有限公司,广州-白云区,1-1.5万/月
数据挖掘工程师,深圳天源迪科信息技术股份有限公司,南宁,0.5-1万/月
数据挖掘工程师,科沃斯机器人股份有限公司,苏州,1-1.5万/月
大数据挖掘分析师,华仁药业股份有限公司,青岛-崂山区,1.5-2万/月
数据挖掘工程师,杭州谱链智能科技有限公司,杭州-西湖区,2-4万/月
数据挖掘工程师,广州天长通信技术有限公司,广州-天河区,0.8-2万/月
数据建模挖掘工程师,上海竞动科技有限公司,上海-浦东新区,1-1.5万/月
数据挖掘/分析工程师,深圳市睿服科技有限公司,深圳-福田区,1.5-2万/月
数据挖掘工程师（网络安全方向）(006368),奇安信集团,成都-武侯区,1.5-3万/月
大数据分析/大数据挖掘工程师,武汉市多比特信息科技有限公司,武汉-东湖新技术产业开发区,1.5-3万/月
数据挖掘工程师,广州探迹科技有限公司,广州-番禺区,1.5-3万/月
急聘 数据挖掘工程师,上海速林网络科技有限公司,成都,1.5-2万/月
数据挖掘工程师,新明珠集团股份有限公司,佛山-禅城区,1.1-2.5万/月
