GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
古墓丽影：终极版,Tomb Raider: Definitive Edition,"stadia, ps4, xb1, ",Crystal Dynamics,Square Enix,,,最早发售 2014-01-28,true,,,,,,,,,,,,
像素垃圾妖怪终极版 HD,Pixeljunk Monsters Ultimate HD,"pc, psv, ps3, psp, ",Double Eleven,Double Eleven,2013-11-26,false,,,,,,,,,,,,,2013-11-26,false
不义联盟：人间之神终极版,Injustice: Gods Among Us Ultimate Edition,"ps4, pc, psv, ps3, x360, ",High Voltage Software,Warner Bros. Games,2013-11-12,false,2013-11-12,false,,,,,,,,,,,2013-11-12,false
无双大蛇2 终极版,無双OROCHI2 Ultimate,"ns, ps4, xb1, wiiu, psv, ps3, x360, psp, ",Omega Force,Koei Tecmo,,,2013-09-26,false,,,,,,,,,,,2013-09-26,false
死或生5 终极版,DEAD OR ALIVE 5 Ultimate,"ps3, x360, ",Koei Tecmo,Koei Tecmo,,,,,,,,,,,,,,,,
城堡风暴：终极版,CastleStorm: Definitive Edition,"ps4, ",Zen Studios,Zen Studios,,,最早发售 2014-09-23,true,,,,,,,,,,,,
潜龙谍影5 终极版,Metal Gear Solid V: The Definitive Experience,"ps4, xb1, ",Kojima Productions,Konami,,,最早发售 2016-10-11(美版),true,,,,,,,,,,,,
四海兄弟2：最终版,Mafia II Definitive,"ps4, xb1, ",Hangar 13,2K,,,最早发售 2020-05-20,true,,,,,,,,,,,,
DMC：鬼泣 终极版,DmC: Devil May Cry Definitive Edition,"ps4, xb1, ",Ninja Theory,CAPCOM,,,2015-03-10,false,,,,,,,,,,,,
四海兄弟：最终版,Mafia: Definitive Edition,"ps4, xb1, ",Hangar 13,2K,,,最早发售 2020-09-25,true,,,,,,,,,,,,
异度神剑 终极版,ゼノブレイド ディフィニティブ・エディション,"ns, ",Monolith Soft,Nintendo,,,,,,,,,,,,,,,,
帝国时代2 终极版,Age of Empires II: Definitive Edition,"pc, ",Forgotten Empires,Microsoft,最早发售 2019-11-14,true,,,,,,,,,,,,,,
帝国时代3 终极版,Age of Empires III: Definitive Edition,"pc, ",Tantalus Media,Microsoft,最早发售 2020-10-15,true,,,,,,,,,,,,,,
帝国时代3：完全版,Age of Empires III: Complete Collection,"pc, ",官网地址,Microsoft,最早发售 2009-09-15,false,,,,,,,,,,,,,,
薄暮传说 终极版,テイルズ オブ ヴェスペリア REMASTER,"ns, ps4, xb1, pc, ",Bandai Namco,Bandai Namco,2019-01-11,false,2019-01-11,false,,,,,,,,,,,,
帝国时代：终极版,Age of Empires: Definitive Edition,"pc, ",Forgotten Empires,Microsoft,2018-02-20,false,,,,,,,,,,,,,,
超级星尘终极版VR,Star Strike Ultra VR,"ps4, ",Sony Interactive Entertainment,Sony Interactive Entertainment,,,2016-10-10,false,,,,,,,,,,,,
杀手GO 终极版,Hitman GO: Definitive Edition,"ps4, pc, psv, ",Square Enix,Square Enix,2016-02-23,false,2016-02-23,false,,,,,,,,,,,2016-02-23,false
战争机器：终极版,Gears of War:Ultimate Edition,"xb1, pc, ",The Coalition,Microsoft,2015-08-25,false,,,,,,,,,,,,,,
耻辱 终极版,Dishonored Definitive Edition,"ps4, xb1, pc, ",Arkane Studios,Bethesda,2015-08-25,false,2015-08-25,false,,,,,,,,,,,,
俄罗斯方块：终极版,Tetris Ultimate,"ps4, xb1, pc, psv, 3ds, ",SoMa Play,Ubisoft,2014-11-11,false,2014-11-11,false,,,,,,,,,2014-11-11,false,2014-11-11,false
热血无赖：终极版,Sleeping Dogs: Definitive Edition,"ps4, xb1, pc, ps3, x360, ",United Front Games,Square Enix,2014-10-14,false,2014-10-14,false,,,,,,,,,,,,
僵尸车手 终极版,Zombie Driver Ultimate Edition,"xb1, ",EXOR Studios,EXOR Studios,,,,,,,,,,,,,,,,
像素垃圾射手 终极版,PixelJunk shooter Ultimate,"ps4, ",Double Eleven,Sony Interactive Entertainment,,,2014-06-03,false,,,,,,,,,,,,
