GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
灰色的乐园,Grisaia no Rakuen: Le Eden De La Grisaia,"ns, ",FrontWing,Prototype,,,,,,,,,,,,,,,,
灰色的迷宫,Grisaia no Meikyuu: Le Labyrinthe De La Grisaia,"ns, ",FrontWing,Prototype,,,,,,,,,,,,,,,,
灰色的果实,Grisaia no Kajitsu: Le Fruit De La Grisaia,"ns, pc, psv, ",FrontWing,Prototype,最早发售 2013-08-08,false,,,,,,,,,,,,,最早发售 2013-08-08,false
梦幻模拟战 1&2,Langrisser I & II,"ns, ",Chara-Ani,Kadokawa Games,,,,,,,,,,,,,,,,
GRIS,,"ns, ps4, pc, ",Nomada Studio,Devolver Digital,最早发售 2018-12-13,true,最早发售 2019-11-26,true,,,,,,,,,,,,
梦幻模拟战,ラングリッサー,"ios, android, ",官网地址,Masaya,,,,,,,,,,,,,,,,
