GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
全·金属狂怒,Full Metal Furies,"xb1, pc, ",Cellar Door Games,Cellar Door Games,2018-01-17,false,,,,,,,,,,,,,,
Furi,,"ns, ps4, xb1, pc, ",The Game Bakers,The Game Bakers,2016-07-05,false,2016-07-05,false,,,,,,,,,,,,
速度与激情：紧要关头,Fast & Furious: Showdown,"pc, wiiu, 3ds, ps3, x360, ",Firebrand Games,Activision,2013-05-21,false,,,,,,,,,,,2013-05-21,false,,
速度与激情 十字路口,Fast & Furious Crossroads,"ps4, xb1, ",Slightly Mad Studios,Bandai Namco,,,最早发售 2020-08-07,true,,,,,,,,,,,,
