GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
勇者斗恶龙12 被选中的命运之火,ドラゴンクエストXII 選ばれし運命の炎,"平台未定, ",Square Enix,Square Enix,,,,,,,,,,,,,,,,
Fate/EXTELLA LINK,フェイト／エクステラ リンク,"ns, ps4, psv, ",Marvelous,SEGA,,,2018-06-07,false,,,,,,,,,,,2018-06-07,false
Fate/EXTELLA,,"ns, ps4, pc, psv, ",Marvelous,Marvelous,2016-11-10,false,2016-11-10,false,,,,,,,,,,,2016-11-10,false
命运之手2,Hand of Fate 2,"ns, ps4, xb1, pc, ",Defiant Development,Defiant Development,2017-11-07,false,2017-11-07,false,,,,,,,,,,,,
天命奇御2,Fate Seeker2,"pc, ",甲山林娱乐,甲山林娱乐,最早发售 2021,true,,,,,,,,,,,,,,
天命奇御,Fate Seeker,"pc, ",甲山林娱乐,甲山林娱乐,2018-08-08,false,,,,,,,,,,,,,,
Fate/Grand Order,命运 冠位指定,"ios, android, ",DELiGHTWORKS,Type-Moon,,,,,,,,,,,,,,,,
命运之手,Hand of Fate,"ps4, xb1, pc, ",Defiant Development,Defiant Development,2014-07-07,false,2014-07-07,false,,,,,,,,,,,,
Fate/EXTRA CCC,フェイト／エクストラ CCC,"psp, ",Marvelous,AQL,,,,,,,,,,,,,,,,
Fate/Stay Night [Realta Nua],Fate/Stay Night [Realta Nua],"psv, ",Type-Moon,Kadokawa Games,,,,,,,,,,,,,,,2012-11-29,false
Fate/EXTRA,Fate/EXTRA,"psp, ",Type-Moon,Marvelous,,,,,,,,,,,,,,,,
Fate/无限代码 携带版,Fate/unlimited codes PORTABLE,"psp, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
Fate/无限代码,Fate/unlimited codes,"ps2, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
Fate/老虎竞技场 强化版,フェイト/タイガーころしあむ アッパー,"psp, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
Fate/老虎竞技场,フェイト/タイガーころしあむ,"psp, ",Cavia,CAPCOM,,,,,,,,,,,,,,,,
HEX 命运碎片,HEX: Shards of Fate,"ps4, ",Hex Entertainment,Hex Entertainment,,,最早发售 2016-01-26,false,,,,,,,,,,,,
罗格朗的遗产 命运之歌,LEGRAND LEGACY Tale of the Fatebounds,"ns, pc, ",SEMISOFT,Mayflower Entertainment,2018-01-24,false,,,,,,,,,,,,,,
魔鬼恋人：暗黑命运,Diabolik Lovers: Dark Fate,"psv, ",Otomate,Idea Factory,,,,,,,,,,,,,,,2015-02-26,false
Fate/hollow ataraxia,,"pc, psv, ",Type-Moon,Type-Moon,2014-11-27,false,,,,,,,,,,,,,2014-11-27,false
魔法少女☆伊莉雅,Fate/kaleid liner Prisma Illya,"3ds, ",Kadokawa Games,Kadokawa Games,,,,,,,,,,,,,2014-07-31,false,,
恶魔城：暗影之王-命运之镜,Castlevania: Lords of Shadow – Mirror of Fate,"3ds, ",MercurySteam,Konami,,,,,,,,,,,,,2013-03-05,false,,
漫画英雄对Capcom 3,Marvel VS. Capcom 3 Fate of Two Worlds,"ps3, x360, ",Eighting,CAPCOM,,,,,,,,,,,,,,,,
最终幻想 水晶编年史 命运指轮,Final Fantasy Crystal Chronicles: Ring of Fates,"nds, ",Square Enix,Square Enix,,,,,,,,,,,,,,,,
魔法门9：命运圣典,Might and Magic IX: Writ of Fate,"pc, ",New World Computing,3DO,最早发售 2002-03-29,false,,,,,,,,,,,,,,
火焰纹章if：白夜王国/暗夜王国,ファイアーエムブレムif 白夜王国 / 暗夜王国,"3ds, ",Intelligent Systems,Nintendo,,,,,,,,,,,,,最早发售 2015-06-25(日版),false,,
