GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
剑刃风暴：百年战争&噩梦,Bladestorm: The Hundred Years’ War & Nightmare,"ps4, xb1, ps3, ",Koei Tecmo,Koei Tecmo,,,2015-01-29,false,,,,,,,,,,,,
剑刃风暴 百年战争,BLADESTORM -百年戦争-,"ps3, x360, ",Omega Force,Koei Tecmo,,,,,,,,,,,,,,,,
心灵杀手 美国噩梦,Alan Wake's American Nightmare,"pc, x360, ",Remedy,Microsoft,2012-02-22,false,,,,,,,,,,,,,,
噩梦骑士,ナイツ・イン・ザ・ナイトメア,"psp, nds, ",Sting,Sting,,,,,,,,,,,,,,,,
去年 噩梦,Last Year: The Nightmare,"pc, ",Elastic Games,Elastic Games,最早发售 2018-12-18,false,,,,,,,,,,,,,,
秘封噩梦日记,秘封ナイトメアダイアリー ～ Violet Detector.,"pc, ",上海アリス幻樂団,上海アリス幻樂団,最早发售 2018-08-10,false,,,,,,,,,,,,,,
三位一体4：噩梦王子,Trine 4: The Nightmare Prince,"ns, ps4, xb1, ",Frozenbyte,Modus Games,,,最早发售 2019-10-08,true,,,,,,,,,,,,
小小噩梦,Little Nightmares,"ns, ps4, xb1, pc, ",Tarsier Studios,Bandai Namco,2017-04-27,false,2017-04-27,false,,,,,,,,,,,,
小小梦魇2,Little Nightmares 2,"xsx|s, ps5, ns, ps4, xb1, ",Tarsier Studios,Bandai Namco,,,最早发售 2021-02-10,true,最早发售 2021-08-25,true,,,,,,,,,,
