GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
迷宫探索者2 王立魔法图书馆与魔物的封印,ダンジョントラベラーズ2 王立図書館とマモノの封印,"psp, ",AQUAPLUS,AQUAPLUS,,,,,,,,,,,,,,,,
万物之尘,FROM DUST,"ps3, x360, ",Ubisoft,Ubisoft,,,,,,,,,,,,,,,,
传颂之物 给逝者的摇篮曲,うたわれるもの 散りゆく者への子守唄,"ps4, pc, psv, psp, ",AQUAPLUS,AQUAPLUS,最早发售 2002-10-26,true,最早发售 2018-04-26,true,,,,,,,,,,,最早发售 2018-04-26,false
传颂之物 斩,うたわれるもの斬,"ps4, ",AQUAPLUS,AQUAPLUS,,,最早发售 2018-09-27,true,,,,,,,,,,,,
第五件遗留物,The Fifth Remnant,"pc, ",狼烟游戏studio,NiceBoat,最早发售 2021-02-09,true,,,,,,,,,,,,,,
传颂之物 斩2,うたわれるもの斬2,"ps5, ",Tamsoft,AQUAPLUS,,,,,最早发售 2021-07-22,false,,,,,,,,,,
圣物,Artifact,"pc, ios, android, ",Valve,Valve,2018-11-28,false,,,,,,,,,,,,,,
三位一体3：权力圣器,Trine 3: The Artifacts of Power,"ps4, pc, ",Frozenbyte,Frozenbyte,2015-04-21,false,2015-04-21,false,,,,,,,,,,,,
万圣节大作战2,Costume Quest 2,"ps4, xb1, pc, ps3, x360, ",Double Fine,Midnight City,2014-10-29,false,2014-10-29,false,,,,,,,,,,,,
二之国 白色圣灰的女王 完全版,二ノ国 白き聖灰の女王,"ps3, ",角色扮演,LEVEL-5,,,,,,,,,,,,,,,,
二之国 白色圣灰的女王,二ノ国 白き圣灰の女王,"ns, ps4, pc, ",LEVEL-5,LEVEL-5,最早发售 2019-09-20,false,最早发售 2019-09-20,false,,,,,,,,,,,,
万物诞生,Birthdays the Beginning,"ps4, pc, ",Arc System Works,Arc System Works,2017-05-09,false,2017-05-09,false,,,,,,,,,,,,
世间万物,Everything,"ns, ps4, pc, ",模拟,David Oreilly,2017-03-21,false,2017-03-21,false,,,,,,,,,,,,
传颂之物 二人的白皇,うたわれるもの 二人の白皇,"ps4, pc, psv, ",AQUAPLUS,AQUAPLUS,最早发售 2020-01-23,true,最早发售 2016-09-21,true,,,,,,,,,,,最早发售 2016-09-21,false
我的英雄学院：为万物而战,僕のヒーローアカデミ：バトル・フォー・オール,"3ds, ",动作,Bandai Namco,,,,,,,,,,,,,2016-05-19,false,,
传颂之物 虚伪的假面,うたわれるもの 偽りの仮面,"ps4, pc, psv, ",AQUAPLUS,AQUAPLUS,最早发售 2020-01-23,true,最早发售 2015-09-24,true,,,,,,,,,,,最早发售 2015-09-24,false
迷宫旅人 2 王立图书馆与魔物封印,Dungeon Travelers 2: The Royal Library & the Monster Seal,"psv, psp, ",Sting,AQUAPLUS,,,,,,,,,,,,,,,2015-08-18,false
巫女学校物语 枫篇,巫女学校物語～楓編,"ps4, pc, ",角色扮演,xinoro,2015-08-16,false,2015-08-16,false,,,,,,,,,,,,
