GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
刺客信条2 探索,Assassin's Creed II: Discovery,"nds, ",Griptonite Games,Ubisoft,,,,,,,,,,,,,,,,
刺客信条 血缘,Assassin's Creed: Bloodlines,"psp, ",Ubisoft,Ubisoft,,,,,,,,,,,,,,,,
刺客信条2,Assassins Creed II,"ps4, xb1, pc, ps3, ",Ubisoft,Ubisoft,最早发售 2010-03-04,false,最早发售 2016-11-15,false,,,,,,,,,,,,
刺客信条 埃泰尔编年史,Assassin's Creed: Altair's Chronicles,"nds, ",Gameloft,Ubisoft,,,,,,,,,,,,,,,,
刺客信条,Assassin's Creed,"pc, ps3, x360, ",Ubisoft,Ubisoft,2007-11-13,false,,,,,,,,,,,,,,
刺客信条 本色,Assassin's Creed Identity,"ios, ",Blue Byte,Ubisoft,,,,,,,,,,,,,,,,
刺客信条 英灵殿,Assassin's Creed: Valhalla,"xsx|s, ps5, stadia, ps4, xb1, ",Ubisoft,Ubisoft,,,最早发售 2020-11-10,true,最早发售 2020-11-12,true,,,,,,,,,,
刺客信条 奥德赛,Assassin’s Creed Odyssey,"stadia, ns, ps4, xb1, ",Ubisoft,Ubisoft,,,最早发售 2018-10-05,true,,,,,,,,,,,,
超级马力欧 奥德赛,Super Mario Odyssey,"ns, ",Nintendo,Nintendo,,,,,,,,,,,,,,,,
阿尔托的奥德赛,Alto's Odyssey,"ios, android, ",动作,Snowman,,,,,,,,,,,,,,,,
深渊奥德赛,Abyss Odyssey,"ps4, pc, ps3, x360, ",ACE Team,Atlus,2014-07-15,false,2014-07-15,false,,,,,,,,,,,,
鱿鱼奥德赛,Squids Odyssey,"wiiu, 3ds, ",The Game Bakers,The Game Bakers,,,,,,,,,,,,,2014-05-22,false,,
仙境传说奥德赛：王牌,Ragnarok Odyssey Ace,"psv, ps3, ",Game Arts,GungHo,,,,,,,,,,,,,,,2013-08-29,false
仙境传说奥德赛,Ragnarok Odyssey,"psv, ps3, ",Game Atelier,GungHo,,,,,,,,,,,,,,,2012-02-02,false
失落的奥德赛,LOST ODYSSEY,"x360, ",Mistwalker,Microsoft,,,,,,,,,,,,,,,,
先祖：人类奥德赛,ANCESTORS: The Humankind Odyssey,"ps4, xb1, ",Panache Digital Games,Private Division,,,最早发售 2019-12-06,true,,,,,,,,,,,,
刺客信条：燎原,Assassin's Creed Rebellion,"ios, android, ",Behaviour Interactive,Ubisoft,,,,,,,,,,,,,,,,
刺客信条 起源,Assassin’s Creed Origins,"ps4, xb1, pc, ",Ubisoft,Ubisoft,2017-10-27,false,2017-10-27,false,,,,,,,,,,,,
刺客信条 艾吉奥合集,Assassin''s Creed Ezio Collection,"ps4, xb1, ",Ubisoft,Ubisoft,,,2016-11-15,false,,,,,,,,,,,,
刺客信条编年史：俄罗斯,Assassin's Creed Chronicles: Russia,"ps4, xb1, pc, ",Climax Studios,Ubisoft,2016-02-09,false,2016-02-09,false,,,,,,,,,,,,
刺客信条编年史合集,Assassin's Creed Chronicles,"ps4, xb1, pc, psv, ",Ubisoft,Ubisoft,2016-02-09,false,2016-02-09,false,,,,,,,,,,,2016-02-09,false
刺客信条编年史：印度,Assassin's Creed Chronicles: India,"ps4, xb1, pc, ",Climax Studios,Ubisoft,2016-01-12,false,2016-01-12,false,,,,,,,,,,,,
刺客信条 枭雄,Assassin's Creed Syndicate,"ps4, xb1, pc, ",Ubisoft,Ubisoft,2015-10-23,false,2015-10-23,false,,,,,,,,,,,,
刺客信条编年史：中国,Assassin's Creed Chronicles China,"ps4, xb1, pc, ps3, ",Climax Studios,Ubisoft,2015-04-21,false,2015-04-21,false,,,,,,,,,,,,
刺客信条：叛变,Assassin's Creed Rogue,"ns, pc, ps3, ",Ubisoft,Ubisoft,最早发售 2015-03-10,true,,,,,,,,,,,,,,
刺客信条：大革命,Assassin's Creed Unity,"ps4, xb1, pc, ",Ubisoft,Ubisoft,2014-11-11,false,2014-11-11,false,,,,,,,,,,,,
刺客信条4：黑旗,Assassin's Creed IV: Black Flag,"ns, ps4, xb1, pc, wiiu, ps3, ",Ubisoft,Ubisoft,最早发售 2013-11-15,true,最早发售 2013-11-15,true,,,,,,,,,,,,
刺客信条3,Assassin's Creed III,"ns, ps4, xb1, pc, ps3, x360, ",Ubisoft,Ubisoft,2012-11-18,false,2012-11-18,false,,,,,,,,,,,,
刺客信条3：解放,Assassin's Creed III: Liberation,"ns, ps4, xb1, pc, psv, ps3, x360, ",Ubisoft,Ubisoft,2012-11-15,false,2012-11-15,false,,,,,,,,,,,2012-11-15,false
刺客信条 启示录,Assassin's Creed: Revelations,"ps3, x360, ",Ubisoft,Ubisoft,,,,,,,,,,,,,,,,
刺客信条 兄弟会,Assassin's Creed: Brotherhood,"pc, ps3, x360, ",Ubisoft,Ubisoft,2010-11-16,false,,,,,,,,,,,,,,
