GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
战神：奥林匹斯之链,God of War: Chains of Olympus,"psp, ",Ready at Dawn,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
战神2,God of War Ⅱ,"ps2, ",动作,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
战神1,God of War 1,"ps2, ",Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
益智之谜 战神的挑战,Puzzle Quest: Challenge of the Warlords,"pc, ps3, x360, wii, psp, nds, ps2, ",Infinite Interactive,D3 Go!,2007-03-20,false,,,,,,,,,,,,,,
战神 诸神黄昏,God of War Ragnarok,"ps5, ",Santa Monica Studio,Sony Interactive Entertainment,,,,,最早发售 2022,true,,,,,,,,,,
战神：夜袭,Battle Chasers: Nightwar,"ns, ps4, xb1, pc, ",Airship Syndicate,THQ Nordic,2017-10-04,false,2017-10-04,false,,,,,,,,,,,,
战神,God of War,"ps4, ",Santa Monica Studio,Sony Interactive Entertainment,,,最早发售 2018-04-20,true,,,,,,,,,,,,
战神阿修罗,Asura,"pc, ",动作,Ogre Head Studio,2017-04-14,false,,,,,,,,,,,,,,
暗黑血统 战神版,Darksiders Warmastered Edition,"ns, ps4, xb1, pc, ",Vigil Games,THQ Nordic,2016-11-30,false,2016-11-30,false,,,,,,,,,,,,
战神3 重制版,God of War 3 Remastered,"ps4, ",Santa Monica Studio,Sony Interactive Entertainment,,,2015-07-14,false,,,,,,,,,,,,
相州战神馆学园 八命阵 天之刻,相州戦神館學園 八命陣 天の刻,"pc, psv, ",Light,Views Corporation,2014-07-24,false,,,,,,,,,,,,,2014-07-24,false
战神 1+2典藏版,God of War Collection,"psv, ps3, ",Sanzaru Games,Sony Interactive Entertainment,,,,,,,,,,,,,,,2014-05-15,false
战神 超凡,God of War: Ascension,"ps3, ",Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
战神 起源 收藏版,God of War Origins Collection,"ps3, ",Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
战神 斯巴达之魂,God of War: Ghost of Sparta,"psp, ",Ready at Dawn,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
战神3,God of War III,"ps3, ",动作,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
无间战神,Too Human,"x360, ",Silicon Knights,Microsoft,,,,,,,,,,,,,,,,
