GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
断剑5：毒蛇诅咒 第二章,Broken Sword 5: The Serpent's Curse,"pc, psv, ",Revolution Software,Revolution Software,2013-12-04,false,,,,,,,,,,,,,2013-12-04,false
雅各布和大脚怪 第二章,Jacob Jones and the Bigfoot Mystery : Episode 2,"pc, psv, ",Lucid Games,Lucid Games,2014-07-24,false,,,,,,,,,,,,,2014-07-24,false
断剑5：毒蛇诅咒,Broken Sword 5,"ps4, xb1, pc, psv, ",Revolution Software,Revolution Software,2013-12-04,false,2013-12-04,false,,,,,,,,,,,2013-12-04,false
异世纪传说2,Another Century's Episode 2,"ps2, ",FromSoftware,BANPRESTO,,,,,,,,,,,,,,,,
咖啡谈话2：木槿与蝴蝶,Coffee Talk Episode 2: Hibiscus & Butterfly,"pc, ",Toge Productions,Toge Productions,最早发售 2022,false,,,,,,,,,,,,,,
