GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
赤痕：夜之仪式,Bloodstained: Ritual of the Night,"ns, ps4, xb1, pc, ios, ",ArtPlay,505 Games,最早发售 2019-06-18,true,最早发售 2019-06-18,true,,,,,,,,,,,,
赤痕：月之诅咒,Bloodstained: Curse of the Moon,"ns, ps4, xb1, pc, psv, 3ds, ",Inti Creates,505 Games,2018-05-24,false,2018-05-24,false,,,,,,,,,2018-05-24,false,2018-05-24,false
赤痕：月之诅咒2,Bloodstained: Curse of the Moon 2,"ns, ps4, xb1, ",Inti Creates,Inti Creates,,,最早发售 2020-07-10,false,,,,,,,,,,,,
偶像大师：Must Songs 红盘/青盘,Idol Master：Must Songs 赤盤/青盤,"psv, ",音乐,Bandai Namco,,,,,,,,,,,,,,,2015-12-10,false
魔界战记 魔界王子与红月,魔界戦記ディスガイア 魔界の王子と赤い月,"nds, ",日本一,日本一,,,,,,,,,,,,,,,,
