JobName,CompanyName,WorkingArea,Salary
人工智能推理优化引擎工程师-项目驻场,统信软件技术有限公司,北京-海淀区,2.5-4.5万/月
信号处理及人工智能算法和设计工程师,"Sytrons Technology Co.,Ltd. 思信电子科技有限公司",上海-浦东新区,25-60万/年
销售工程师（人工智能）,瑞泰新时代（北京）科技有限公司,北京-朝阳区,0.8-1.5万/月
（高级/主管）人工智能算法优化工程师,时擎智能科技（上海）有限公司,上海-浦东新区,2.5-4万/月
大数据+AI（人工智能）设计开发高级工程师,深圳仙瞳资本管理有限公司,深圳-南山区,1.5-3万/月
人工智能教师,深圳有方国际教育有限公司,深圳-南山区,0.8-1.5万/月
Python人工智能,杭州胜蓝软件有限公司,杭州-滨江区,6-8千/月
人工智能专家（家电）,深圳国爱全电化智慧科技有限公司,深圳-南山区,3-6万/月
人工智能研发工程师（HPC-青岛） (MJ001422),曙光信息产业股份有限公司,青岛-崂山区,1.5-2.5万/月
西门子 数字化工业 人工智能研究员 AI Researcher,西门子（中国）有限公司Siemens Ltd. China,北京-朝阳区,1.5-2万/月
区块链开发工程师（人工智能）,云南云电同方科技有限公司,昆明-官渡区,1-1.5万/月
人工智能专家,中物智建（武汉）科技有限公司,武汉-洪山区,50-60万/年
人工智能工程师,浙江杜比医疗科技有限公司,杭州-萧山区,2-4万/月
人工智能/医学图像算法（ECG心电图方向）,杭州脉流科技有限公司,杭州,2-4万/月
售前经理(人工智能),扬州万方电子技术有限责任公司,北京-丰台区,2.5-3万/月
培训讲师（人工智能训练师）,深圳莫比嗨客树莓派智能机器人有限公司,北京-通州区,1.2-2.2万/月
人工智能+信贷管理,苏州东安投资管理有限公司,苏州,0.8-1万/月
人工智能助理,深圳扬波信息科技有限公司,深圳-宝安区,4.5-8千/月
人工智能工程师,湖北美和易思教育科技有限公司,武汉-东湖新技术产业开发区,1-1.5万/月
自然语言（人工智能）开发工程师,上海互教教育科技有限公司,上海-浦东新区,1.8-3万/月
人工智能助理（双休）,西安慧晶智能科技有限公司,深圳-龙华区,0.8-1万/月
Java开发工程师（人工智能）,深圳市丰巢网络技术有限公司,深圳-南山区,1.5-3万/月
人工智能开发工程师,广州市中贸企业管理有限公司,广州-天河区,0.8-1.5万/月
人工智能算法工程师,上海启迪睿视智能科技有限公司,上海-浦东新区,20-50万/年
人工智能研发工程师,富泰华工业（深圳）有限公司,深圳-龙华区,1.5-2万/月
猎头顾问-新能源/人工智能方向,广州楚雅人力资源服务有限公司,广州-南沙区,4.5-8千/月
解决方案总监/专家（人工智能）,云蚁智联（上海）信息技术有限公司,上海-浦东新区,4-6万/月
人工智能课程研发员,广州粤嵌通信科技股份有限公司,广州-黄埔区,1.5-2.5万/月
人工智能合规研究员21SYD48,中国信息通信研究院,北京-海淀区,1.5-2万/月
