JobName,CompanyName,WorkingArea,Salary
深度学习工程师-帝派,北京神州泰岳软件股份有限公司,北京,1-1.5万/月
AI深度学习算法工程师,熵智科技（深圳）有限公司,武汉-江夏区,1.5-2.5万/月
视觉算法/深度学习/算法工程师,南京芸皓智能建筑科技有限公司,镇江-句容市,1.5-3万/月
图像算法工程师-深度学习方向,广东粤港澳大湾区协同创新研究院,广州-黄埔区,1-2万/月
深度学习工程师,广东省电子技术研究所,广州,1-2万/月
图像算法工程师（深度学习）,苏州微清医疗器械有限公司,苏州-工业园区,2-4万/月
图像深度学习算法工程师,上海同陆云交通科技有限公司,上海-嘉定区,1.5-3万/月
深度学习工程师,江苏智臻能源科技有限公司,南京-江宁区,1.8-2.2万/月
深度学习工程师-视觉方向,四川深瑞视科技有限公司,成都-武侯区,1-3万/月
深度学习算法工程师,南京先维信息技术有限公司,南京-浦口区,1.2-3万/月
深度学习方向算法工程师（高薪+高奖金+期权）,广州诺顶智能科技有限公司,广州-番禺区,2-3万/月
深度学习算法工程师/实习生,烟台睿创微纳技术股份有限公司,苏州,1.5-2.5万/月
深度学习算法工程师,广州柏视医疗科技有限公司,广州-海珠区,1.3-2.5万/月
深度学习算法工程师,知行汽车科技（苏州）有限公司,苏州-工业园区,1.5-2.5万/月
深度学习工程师,广州凡拓数字创意科技股份有限公司,广州-天河区,1.2-1.8万/月
深度学习算法工程师,杭州德适生物科技有限公司,杭州-余杭区,1.7-3万/月
深度学习图像算法工程师,苏州华智诚精工科技有限公司,苏州,1.5-2万/月
深度学习算法工程师,睿创·合肥英睿,武汉-洪山区,0.6-1.2万/月
深度学习软件应用工程师,厦门微亚智能科技有限公司,厦门,1.5-3万/月
软件工程师（深度学习方向）,深圳市迈科龙电子有限公司,深圳-南山区,1-3万/月
深度学习算法工程师,长沙润伟机电科技有限责任公司,株洲,0.9-1.5万/月
深度学习算法工程师,盈峰环境科技集团,深圳-南山区,2-3万/月
系统研发-深度学习算法工程师,浙江大立科技股份有限公司,杭州-滨江区,15-20万/年
深度学习算法工程师,浙江欧凯车业有限公司,杭州-余杭区,1.5-2.5万/月
深度学习算法工程师,东莞正扬电子机械有限公司武汉研发中心,武汉-洪山区,1-3万/月
深度学习算法工程师,杭州中为光电技术有限公司,杭州-临平区,18-25万/年
深度学习算法工程师,深圳市豪恩科技集团股份有限公司,深圳,20-30万/年
深度学习工程师,中国华能集团清洁能源技术研究院有限公司,北京-昌平区,4-6万/月
深度学习算法工程师,上海智能交通有限公司,上海-杨浦区,20-35万/年
平头哥-深度学习推理引擎研发专家-杭州,阿里巴巴集团,杭州,
深度学习算法工程师,苏州优备精密智能装备股份有限公司,苏州,0.8-1.6万/月
深度学习算法工程师-机器人方向,字节跳动,北京,2-4万/月
深度学习算法工程师（感知方向）,杭州迦智科技有限公司,杭州-西湖区,1.8-3万/月
医学影像工程师-深度学习,杭州启明医疗器械股份有限公司,杭州,1-1.5万/月
深度学习算法工程师,上海酷芯微电子有限公司,上海-杨浦区,2-4万/月
软件工程师（机器视觉/图像识别/深度学习）,七海测量技术（深圳）有限公司,深圳-宝安区,1-1.5万/月
深度学习框架工程师,太初（无锡）电子科技有限公司,无锡-滨湖区,16-32万/年
深度学习图像处理算法工程师,长沙网动网络科技有限公司,长沙-开福区,1.5-2万/月
深度学习算法工程师,浙江光珀智能科技有限公司,杭州-余杭区,1.8-2.5万/月
深度学习算法工程师,同致电子科技（厦门）有限公司,厦门,1-3万/月
深度学习算法工程师（nlp方向）,上海申挚医疗科技有限公司,上海-虹口区,1.5-4万/月
深度学习/算法工程师8k起,深圳抖屏科技有限公司,深圳-宝安区,0.8-1万/月
深度学习算法工程师,蓝思系统集成有限公司,长沙-长沙县,1-2万/月
视觉深度学习算法工程师,四川苹乐华创智能装备有限公司,成都-高新区,1-1.5万/月
深度学习工程师（激光雷达方向）,广州小鹏汽车科技有限公司,北京-海淀区,1.5-2.5万/月
深度学习工程师,北京三星通信技术研究有限公司,北京-朝阳区,1.5-2.5万/月
深度学习工程师,武汉四维图新科技有限公司,武汉-洪山区,1-1.3万/月
高级深度学习算法工程师,成都国铁电气设备有限公司,成都-双流区,1.2-2万/月
深度学习算法工程师,三固（厦门）科技有限公司,厦门,15-20万/年
深度学习算法工程师,新疆爱华盈通信息技术有限公司深圳分公司,深圳-南山区,1-2万/月
深度学习算法工程师,上海安维尔信息科技股份有限公司,无锡,1-3万/月
人工智能深度学习程序员,和卓生物科技（上海）有限公司,上海-奉贤区,1-1.8万/月
深度学习算法工程师,东莞市诺丽电子科技有限公司,东莞,2.3-3.3万/月
计算机视觉/深度学习算法工程师,江苏医像信息技术有限公司,上海-普陀区,2-3万/月
深度学习算法工程师,苏州凌图科技有限公司,西安-雁塔区,1.5-2.6万/月
深度学习算法工程师,武汉神目信息技术有限公司,武汉-洪山区,1-2万/月
深度学习算法工程师 (MJ000369),坎德拉（深圳）科技创新有限公司,深圳-南山区,2-4万/月
深度学习算法工程师（人工智能部）,青岛本原微电子有限公司,青岛-即墨区,1-1.8万/月
深度学习算法工程师,深圳市赛为智能股份有限公司,深圳-龙岗区,2-2.5万/月
资深算法研究员(深度学习图像方向),科沃斯机器人股份有限公司,苏州,1.8-3万/月
算法移植优化工程师(深度学习方向) (MJ000742),嬴彻科技（上海）有限公司,上海-杨浦区,2.5-5万/月
深度学习工程师,广东东博自动化设备有限公司,东莞-松山湖区,2-3万/月
深度学习算法工程师 (MJ000021),魔视智能科技（上海）有限公司,上海-浦东新区,2-4万/月
软件工程师（深度学习）,珠海广浩捷科技股份有限公司,珠海,20-30万/年
深度学习开发部经理,征图新视（江苏）科技股份有限公司,南京-江宁区,40-60万/年
深度学习工程师,安徽紫薇帝星数字科技有限公司,合肥-高新区,1-2万/月
感知高级专家/工程师（深度学习）,亿嘉和科技股份有限公司,深圳-南山区,2.5-5万/月
机器视觉深度学习算法工程师,合肥欣奕华智能机器有限公司,北京-大兴区,2-3.5万/月
TEG17-深度学习研发工程师（深圳/西雅图）,深圳市腾讯计算机系统有限公司,深圳,
AI深度学习研究员（上海研究院）(J10512),无锡先导智能装备股份有限公司,上海-闵行区,1.5-3万/月
深度学习框架研发工程师（pytorch）,中科寒武纪科技股份有限公司,上海-浦东新区,3-4.8万/月
深度学习算法工程师,苏州瑞仕达企业管理咨询有限公司,上海,3-4万/月
深度学习算法工程师,上海创屹科技有限公司,上海-浦东新区,1.5-3万/月
深度学习算法工程师,武汉极目智能技术有限公司,武汉-东湖新技术产业开发区,1.5-3万/月
123357高级软件开发工程师（车载-深度学习平台）,深圳市大疆创新科技有限公司,深圳-南山区,40-80万/年
深度学习算法工程师,深圳前向启创数码技术有限公司,西安-碑林区,0.8-1.5万/月
深度学习算法工程师,南京深赛信息科技有限公司,南京-栖霞区,1.5-2万/月
深度学习编译器工程师,南京蓝洋智能科技有限公司,南京-江北新区,3-3.5万/月
深度学习算法工程师（高频量化交易方向）,上海佳许投资管理有限公司,上海-浦东新区,2.5-12万/月
深度学习视觉算法工程师,青岛钢铁侠科技有限公司,青岛-黄岛区,1-1.5万/月
深度学习算法工程师,汉王科技股份有限公司,武汉-东湖新技术产业开发区,1-1.7万/月
深度学习算法高级工程师,深圳喵星探索科技有限公司,北京-东城区,2-6万/月
深度学习AI算法工程师,东声（苏州）智能科技有限公司,苏州-工业园区,1.8-3.5万/月
AI深度学习算法工程师,加美中（北京）科技有限公司,北京-昌平区,3.5-10万/月
深度学习工程师,深圳市海云天科技股份有限公司,深圳-南山区,1.3-2万/月
深度学习算法工程师,武汉极动智能科技有限公司,武汉-东湖新技术产业开发区,2-3.5万/月
深度学习视觉算法工程师,苏州针尖智能科技有限公司,苏州-相城区,1.5-2.5万/月
深度学习算法工程师,广州心娱网络科技有限公司,广州-天河区,2-2.5万/月
深度学习工程师,中山市铭达教育咨询有限公司,珠海-金湾区,2.5-3万/月
深度学习算法工程师,成都利君实业股份有限公司,成都-武侯区,1-1.5万/月
深度学习算法工程师,上海励驰半导体有限公司,北京,2-4万/月
深度学习算法工程师,上海弘目智能科技有限公司,上海-静安区,1.3-2.7万/月
